Package                            Version       Editable project location
---------------------------------- ------------- ----------------------------------------------------------------
absl-py                            2.4.0
jiter                              0.13.0
jmespath                           1.1.0
joblib                             1.5.3
jsonlines                          4.0.0
jsonschema                         4.26.0
jsonschema-specifications          2025.9.1
kiwisolver                         1.5.0
lark                               1.2.2
latex2sympy2-extended              1.11.0
llguidance                         1.3.0
llvmlite                           0.44.0
lm-eval                            0.4.11
lm-format-enforcer                 0.11.3
loguru                             0.7.3
lxml                               6.0.2
markdown                           3.10.2
markdown-it-py                     4.0.0
markupsafe                         2.1.5
math-verify                        0.9.0
matplotlib                         3.10.8
mbstrdecoder                       1.1.4
mdurl                              0.1.2
mistral-common                     1.11.0
model-hosting-container-standards  0.1.14
more-itertools                     10.8.0
mpmath                             1.3.0
msgpack                            1.1.2
msgspec                            0.20.0
multidict                          6.7.1
multiprocess                       0.70.16
narwhals                           2.18.1
nd-prover                          1.0.0         /home/hpc/c107fa/c107fa12/RLVL/build_reasoning_dataset/nd_prover
networkx                           3.6.1
ninja                              1.13.0
nltk                               3.9.4
numba                              0.61.2
numpy                              1.26.4
nvidia-cublas-cu12                 12.8.4.1
nvidia-cuda-cupti-cu12             12.8.90
nvidia-cuda-nvrtc-cu12             12.8.93
nvidia-cuda-runtime-cu12           12.8.90
nvidia-cudnn-cu12                  9.10.2.21
nvidia-cudnn-frontend              1.21.0
nvidia-cufft-cu12                  11.3.3.83
nvidia-cufile-cu12                 1.13.1.3
nvidia-curand-cu12                 10.3.9.90
nvidia-cusolver-cu12               11.7.3.90
nvidia-cusparse-cu12               12.5.8.93
nvidia-cusparselt-cu12             0.7.1
nvidia-cutlass-dsl                 4.4.2
nvidia-cutlass-dsl-libs-base       4.4.2
nvidia-ml-py                       13.595.45
nvidia-nccl-cu12                   2.27.5
nvidia-nvjitlink-cu12              12.8.93
nvidia-nvshmem-cu12                3.3.20
nvidia-nvtx-cu12                   12.8.90
omegaconf                          2.3.0
openai                             2.30.0
openai-harmony                     0.0.8
opencensus                         0.11.4
opencensus-context                 0.1.3
opencv-python-headless             4.11.0.86
opentelemetry-api                  1.40.0
opentelemetry-exporter-prometheus  0.61b0
opentelemetry-proto                1.40.0
opentelemetry-sdk                  1.40.0
opentelemetry-semantic-conventions 0.61b0
orjson                             3.11.8
outlines-core                      0.2.11
packaging                          25.0
pandas                             2.3.3
partial-json-parser                0.2.1.1.post7
pathvalidate                       3.3.1
peft                               0.17.1
pillow                             10.4.0
platformdirs                       4.9.4
pluggy                             1.6.0
portalocker                        3.2.0
prometheus-client                  0.24.1
prometheus-fastapi-instrumentator  7.1.0
propcache                          0.4.1
proto-plus                         1.27.2
protobuf                           6.33.6
psutil                             7.2.2
py-cpuinfo                         9.0.0
py-spy                             0.4.1
pyarrow                            23.0.1
pyasn1                             0.6.3
pyasn1-modules                     0.4.2
pybase64                           1.4.3
pybind11                           3.0.3
pycountry                          26.2.16
pycparser                          3.0
pycryptodomex                      3.23.0
pydantic                           2.12.5
pydantic-core                      2.41.5
pydantic-extra-types               2.11.1
pydantic-settings                  2.13.1
pydub                              0.25.1
pygments                           2.20.0
pylatexenc                         2.10
pyparsing                          3.3.2
pytablewriter                      1.2.1
pytest                             9.0.2
python-dateutil                    2.9.0.post0
python-discovery                   1.2.1
python-dotenv                      1.2.2
python-json-logger                 4.1.0
python-multipart                   0.0.22
pytz                               2026.1.post1
pyvers                             0.1.0
pyyaml                             6.0.3
pyzmq                              27.1.0
ray                                2.54.1
referencing                        0.37.0
regex                              2026.3.32
requests                           2.33.1
rich                               14.3.3
rich-toolkit                       0.19.7
rignore                            0.7.6
rlvl                               0.1.0         /home/hpc/c107fa/c107fa12/RLVL
rouge-score                        0.1.2
rpds-py                            0.30.0
sacrebleu                          2.6.0
safetensors                        0.7.0
scikit-learn                       1.8.0
scipy                              1.17.1
semantic-version                   2.10.0
sentencepiece                      0.2.1
sentry-sdk                         2.57.0
setproctitle                       1.3.7
setuptools                         79.0.1
shellingham                        1.5.4
six                                1.17.0
smart-open                         7.5.1
smmap                              5.0.3
sniffio                            1.3.1
soundfile                          0.13.1
soxr                               1.0.0
sqlitedict                         2.1.0
starlette                          0.52.1
submitit                           1.5.4
supervisor                         4.3.0
sympy                              1.14.0
tabledata                          1.3.4
tabulate                           0.10.0
tcolorpy                           0.1.7
tensorboard                        2.20.0
tensorboard-data-server            0.7.2
tensordict                         0.10.0
threadpoolctl                      3.6.0
tiktoken                           0.12.0
tokenizers                         0.22.2
torch                              2.9.0
torchao                            0.17.0
torchaudio                         2.9.0
torchdata                          0.11.0
torchvision                        0.24.0
tqdm                               4.67.3
transformers                       4.57.3
triton                             3.5.0
trl                                0.24.0
typeguard                          4.5.1
typepy                             1.3.4
typer                              0.24.1
typing-extensions                  4.15.0
typing-inspection                  0.4.2
tyro                               1.0.11
tzdata                             2025.3
unsloth                            2026.1.2
unsloth-zoo                        2026.1.2
urllib3                            2.6.3
uvicorn                            0.42.0
uvloop                             0.22.1
verl                               0.8.0.dev0
virtualenv                         21.2.0
vllm                               0.11.1
wandb                              0.25.1
watchfiles                         1.1.1
websockets                         11.0.3
werkzeug                           3.1.7
wheel                              0.46.3
word2number                        1.1
wrapt                              2.1.2
xformers                           0.0.33.post1
xgrammar                           0.1.25
xxhash                             3.6.0
yarl                               1.23.0
z3-solver                          4.16.0.0
zipp                               3.23.0
zstandard                          0.25.0
