step,prompt_tokens,target_tokens,total_tokens,proof_lines
16,949,843,1792,34
16,962,836,1798,34
16,958,842,1800,34
16,961,834,1795,34
16,953,849,1802,34
16,956,862,1818,34
16,953,836,1789,34
16,973,842,1815,34
16,955,849,1804,34
16,959,840,1799,34
16,957,837,1794,34
16,946,839,1785,34
16,946,840,1786,34
16,968,846,1814,34
16,956,824,1780,34
16,947,843,1790,34
16,947,844,1791,34
16,954,841,1795,34
16,956,827,1783,34
16,948,856,1804,34
16,957,848,1805,34
16,955,835,1790,34
16,966,842,1808,34
16,966,843,1809,34
16,948,839,1787,34
16,964,844,1808,34
16,970,840,1810,34
16,937,833,1770,34
17,1020,888,1908,36
17,1008,889,1897,36
17,1023,872,1895,36
17,1018,892,1910,36
17,1014,888,1902,36
17,1009,894,1903,36
17,1005,904,1909,36
17,1017,898,1915,36
17,1010,892,1902,36
17,1012,904,1916,36
17,1011,897,1908,36
17,1029,880,1909,36
17,1020,892,1912,36
17,1005,889,1894,36
17,1018,887,1905,36
17,1014,890,1904,36
17,1015,878,1893,36
17,1016,866,1882,36
17,1003,897,1900,36
17,1020,878,1898,36
17,1000,905,1905,36
17,1023,889,1912,36
17,1015,887,1902,36
17,1006,886,1892,36
17,1024,891,1915,36
17,1011,888,1899,36
17,1026,881,1907,36
17,1024,876,1900,36
17,1011,905,1916,36
17,1010,881,1891,36
17,1008,874,1882,36
17,1020,889,1909,36
17,1022,892,1914,36
17,1022,882,1904,36
17,1017,901,1918,36
17,1017,898,1915,36
17,1018,890,1908,36
17,1018,890,1908,36
17,1021,895,1916,36
17,1021,910,1931,36
17,1022,898,1920,36
17,1027,890,1917,36
17,1020,879,1899,36
17,1011,902,1913,36
17,1020,909,1929,36
17,1006,891,1897,36
17,1008,885,1893,36
17,1008,899,1907,36
17,1006,894,1900,36
17,1005,888,1893,36
18,1071,937,2008,38
18,1073,956,2029,38
18,1071,930,2001,38
18,1076,933,2009,38
18,1071,936,2007,38
18,1071,929,2000,38
18,1073,950,2023,38
18,1079,941,2020,38
18,1063,920,1983,38
18,1073,920,1993,38
18,1073,930,2003,38
18,1071,934,2005,38
18,1073,934,2007,38
18,1073,928,2001,38
18,1080,928,2008,38
18,1077,939,2016,38
18,1068,929,1997,38
18,1076,928,2004,38
18,1078,932,2010,38
18,1080,949,2029,38
18,1083,929,2012,38
18,1070,942,2012,38
18,1079,948,2027,38
18,1074,932,2006,38
18,1068,940,2008,38
18,1078,938,2016,38
18,1074,936,2010,38
18,1076,949,2025,38
18,1079,934,2013,38
18,1077,941,2018,38
18,1069,940,2009,38
18,1079,922,2001,38
18,1067,941,2008,38
18,1085,938,2023,38
18,1070,906,1976,38
18,1079,931,2010,38
18,1076,923,1999,38
18,1068,928,1996,38
18,1079,931,2010,38
18,1074,917,1991,38
18,1077,932,2009,38
18,1071,945,2016,38
18,1084,942,2026,38
18,1071,947,2018,38
18,1068,936,2004,38
18,1077,934,2011,38
18,1079,924,2003,38
18,1076,919,1995,38
18,1076,923,1999,38
18,1071,924,1995,38
19,1138,984,2122,40
19,1129,977,2106,40
19,1129,976,2105,40
19,1130,985,2115,40
19,1129,992,2121,40
19,1126,980,2106,40
19,1123,983,2106,40
19,1127,984,2111,40
19,1130,992,2122,40
19,1133,986,2119,40
19,1135,985,2120,40
19,1126,981,2107,40
19,1135,1002,2137,40
19,1123,989,2112,40
19,1122,976,2098,40
19,1130,978,2108,40
19,1129,976,2105,40
19,1139,984,2123,40
19,1133,978,2111,40
19,1134,1014,2148,40
19,1132,1009,2141,40
19,1118,1007,2125,40
19,1132,979,2111,40
19,1127,990,2117,40
19,1133,988,2121,40
19,1140,987,2127,40
19,1135,992,2127,40
19,1141,986,2127,40
19,1128,999,2127,40
19,1133,989,2122,40
19,1123,996,2119,40
19,1124,974,2098,40
19,1121,982,2103,40
19,1130,978,2108,40
19,1130,973,2103,40
19,1142,981,2123,40
19,1123,983,2106,40
19,1134,1004,2138,40
19,1134,1003,2137,40
19,1114,972,2086,40
19,1120,1001,2121,40
19,1136,983,2119,40
19,1141,996,2137,40
19,1122,970,2092,40
19,1136,989,2125,40
19,1134,984,2118,40
19,1135,998,2133,40
19,1126,998,2124,40
19,1136,979,2115,40
19,1130,985,2115,40
20,1186,1047,2233,42
20,1191,1045,2236,42
20,1191,1033,2224,42
20,1191,1043,2234,42
20,1189,1035,2224,42
20,1190,1046,2236,42
20,1197,1036,2233,42
20,1198,1017,2215,42
20,1195,1048,2243,42
20,1185,1028,2213,42
20,1180,1029,2209,42
20,1192,1037,2229,42
20,1184,1040,2224,42
20,1185,1028,2213,42
20,1193,1043,2236,42
20,1189,1058,2247,42
20,1183,1043,2226,42
20,1197,1048,2245,42
20,1198,1051,2249,42
20,1192,1042,2234,42
20,1180,1027,2207,42
20,1191,1032,2223,42
20,1192,1061,2253,42
20,1186,1028,2214,42
20,1188,1037,2225,42
20,1197,1049,2246,42
20,1179,1045,2224,42
20,1190,1041,2231,42
20,1196,1040,2236,42
20,1191,1040,2231,42
20,1192,1037,2229,42
20,1191,1032,2223,42
20,1192,1049,2241,42
20,1180,1052,2232,42
20,1188,1032,2220,42
20,1191,1038,2229,42
20,1192,1044,2236,42
20,1192,1058,2250,42
20,1190,1038,2228,42
20,1198,1050,2248,42
20,1180,1040,2220,42
20,1197,1029,2226,42
20,1190,1036,2226,42
20,1198,1048,2246,42
20,1198,1036,2234,42
20,1191,1034,2225,42
20,1188,1047,2235,42
20,1185,1040,2225,42
20,1191,1042,2233,42
20,1191,1038,2229,42
