schema	band	metric	pass@64_mean	pass@64_std
correct_plus_0p5_valid_plus_0p1_format	band_ood	correct	0.996667	0.002357
correct_plus_0p5_valid_plus_0p1_format	band_ood	valid	0.680000	0.032404
correct_plus_0p5_valid_plus_0p1_format	band_ood	joint	0.603333	0.008498
correct_plus_0p5_valid_plus_0p1_format	band_ood	valid_given_correct	0.605360	0.009039
correct_plus_0p5_valid_plus_0p1_format	band_ood	format	1.000000	0.000000
correct_plus_0p5_valid_plus_0p1_format	band_hard_tail	correct	0.994444	0.003928
correct_plus_0p5_valid_plus_0p1_format	band_hard_tail	valid	0.538889	0.113923
correct_plus_0p5_valid_plus_0p1_format	band_hard_tail	joint	0.430556	0.060985
correct_plus_0p5_valid_plus_0p1_format	band_hard_tail	valid_given_correct	0.433100	0.062342
correct_plus_0p5_valid_plus_0p1_format	band_hard_tail	format	1.000000	0.000000
correct_plus_0p75_valid_plus_0p1_format	band_train	correct	0.991667	0.002357
correct_plus_0p75_valid_plus_0p1_format	band_train	valid	0.990000	0.000000
correct_plus_0p75_valid_plus_0p1_format	band_train	joint	0.981667	0.002357
correct_plus_0p75_valid_plus_0p1_format	band_train	valid_given_correct	0.989916	0.000024
correct_plus_0p75_valid_plus_0p1_format	band_train	format	1.000000	0.000000
correct_plus_0p75_valid_plus_0p1_format	band_ood	correct	1.000000	0.000000
correct_plus_0p75_valid_plus_0p1_format	band_ood	valid	0.671667	0.016997
correct_plus_0p75_valid_plus_0p1_format	band_ood	joint	0.596667	0.011785
correct_plus_0p75_valid_plus_0p1_format	band_ood	valid_given_correct	0.596667	0.011785
correct_plus_0p75_valid_plus_0p1_format	band_ood	format	1.000000	0.000000
correct_plus_0p75_valid_plus_0p1_format	band_hard_tail	correct	1.000000	0.000000
correct_plus_0p75_valid_plus_0p1_format	band_hard_tail	valid	0.522222	0.078567
correct_plus_0p75_valid_plus_0p1_format	band_hard_tail	joint	0.416667	0.035355
correct_plus_0p75_valid_plus_0p1_format	band_hard_tail	valid_given_correct	0.416667	0.035355
correct_plus_0p75_valid_plus_0p1_format	band_hard_tail	format	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_train	correct	0.990000	0.000000
correct_plus_line_valid_plus_0p1_format	band_train	valid	0.995000	0.004082
correct_plus_line_valid_plus_0p1_format	band_train	joint	0.985000	0.004082
correct_plus_line_valid_plus_0p1_format	band_train	valid_given_correct	0.994949	0.004124
correct_plus_line_valid_plus_0p1_format	band_train	format	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_ood	correct	0.998333	0.002357
correct_plus_line_valid_plus_0p1_format	band_ood	valid	0.635000	0.010801
correct_plus_line_valid_plus_0p1_format	band_ood	joint	0.585000	0.010801
correct_plus_line_valid_plus_0p1_format	band_ood	valid_given_correct	0.586005	0.012200
correct_plus_line_valid_plus_0p1_format	band_ood	format	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_hard_tail	correct	0.997222	0.003928
correct_plus_line_valid_plus_0p1_format	band_hard_tail	valid	0.422222	0.017123
correct_plus_line_valid_plus_0p1_format	band_hard_tail	joint	0.355556	0.019642
correct_plus_line_valid_plus_0p1_format	band_hard_tail	valid_given_correct	0.356629	0.021160
correct_plus_line_valid_plus_0p1_format	band_hard_tail	format	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_train	correct	0.988333	0.002357
correct_plus_valid_plus_0p1_format	band_train	valid	0.995000	0.004082
correct_plus_valid_plus_0p1_format	band_train	joint	0.983333	0.002357
correct_plus_valid_plus_0p1_format	band_train	valid_given_correct	0.994949	0.004124
correct_plus_valid_plus_0p1_format	band_train	format	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_ood	correct	0.995000	0.004082
correct_plus_valid_plus_0p1_format	band_ood	valid	0.665000	0.038944
correct_plus_valid_plus_0p1_format	band_ood	joint	0.603333	0.016499
correct_plus_valid_plus_0p1_format	band_ood	valid_given_correct	0.606434	0.018735
correct_plus_valid_plus_0p1_format	band_ood	format	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_hard_tail	correct	0.991667	0.006804
correct_plus_valid_plus_0p1_format	band_hard_tail	valid	0.511111	0.116336
correct_plus_valid_plus_0p1_format	band_hard_tail	joint	0.427778	0.077380
correct_plus_valid_plus_0p1_format	band_hard_tail	valid_given_correct	0.431911	0.081089
correct_plus_valid_plus_0p1_format	band_hard_tail	format	1.000000	0.000000
indicator_all	band_train	correct	0.990000	0.000000
indicator_all	band_train	valid	0.996667	0.004714
indicator_all	band_train	joint	0.985000	0.004082
indicator_all	band_train	valid_given_correct	0.994949	0.004124
indicator_all	band_train	format	1.000000	0.000000
indicator_all	band_ood	correct	0.996667	0.002357
indicator_all	band_ood	valid	0.660000	0.040208
indicator_all	band_ood	joint	0.583333	0.015456
indicator_all	band_ood	valid_given_correct	0.585310	0.016392
indicator_all	band_ood	format	1.000000	0.000000
indicator_all	band_hard_tail	correct	0.994444	0.003928
indicator_all	band_hard_tail	valid	0.505556	0.120249
indicator_all	band_hard_tail	joint	0.400000	0.051370
indicator_all	band_hard_tail	valid_given_correct	0.402404	0.052895
indicator_all	band_hard_tail	format	1.000000	0.000000
indicator_correct_and_format	band_train	correct	0.991667	0.002357
indicator_correct_and_format	band_train	valid	0.940000	0.037417
indicator_correct_and_format	band_train	joint	0.933333	0.037933
indicator_correct_and_format	band_train	valid_given_correct	0.941094	0.036051
indicator_correct_and_format	band_train	format	1.000000	0.000000
indicator_correct_and_format	band_ood	correct	1.000000	0.000000
indicator_correct_and_format	band_ood	valid	0.655000	0.021213
indicator_correct_and_format	band_ood	joint	0.571667	0.059489
indicator_correct_and_format	band_ood	valid_given_correct	0.571667	0.059489
indicator_correct_and_format	band_ood	format	1.000000	0.000000
indicator_correct_and_format	band_hard_tail	correct	1.000000	0.000000
indicator_correct_and_format	band_hard_tail	valid	0.505556	0.092379
indicator_correct_and_format	band_hard_tail	joint	0.394444	0.046315
indicator_correct_and_format	band_hard_tail	valid_given_correct	0.394444	0.046315
indicator_correct_and_format	band_hard_tail	format	1.000000	0.000000
