schema	band	metric	pass@1_mean	pass@1_std	pass@8_mean	pass@8_std	pass@64_mean	pass@64_std
correct_plus_valid_plus_0p1_format	band_ood	joint	0.368516	0.005932	0.764232	0.028695	0.921667	0.018409
correct_plus_valid_plus_0p1_format	band_ood	valid_given_correct	0.399851	0.001546	0.775765	0.027961	0.926280	0.017182
correct_plus_valid_plus_0p1_format	band_ood	invalid_but_correct	0.553073	0.005401	0.220854	0.027181	0.073333	0.016997
correct_plus_valid_plus_0p1_format	band_ood	format	0.997552	0.001862	1.000000	0.000000	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_ood	syntactic	0.981484	0.002850	1.000000	0.000000	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_hard_tail	correct	0.901042	0.014476	0.987009	0.004021	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_hard_tail	valid	0.240278	0.018361	0.671957	0.045448	0.919444	0.028328
correct_plus_valid_plus_0p1_format	band_hard_tail	joint	0.235460	0.018364	0.660777	0.043150	0.905556	0.020787
correct_plus_valid_plus_0p1_format	band_hard_tail	valid_given_correct	0.261070	0.016205	0.669561	0.045049	0.905556	0.020787
correct_plus_valid_plus_0p1_format	band_hard_tail	invalid_but_correct	0.665582	0.005288	0.326231	0.044985	0.094444	0.020787
correct_plus_valid_plus_0p1_format	band_hard_tail	format	0.996528	0.002439	1.000000	0.000000	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_hard_tail	syntactic	0.975304	0.003199	1.000000	0.000000	1.000000	0.000000
correct_times_valid_plus_0p1_format	band_train	correct	0.999219	0.000319	1.000000	0.000000	1.000000	0.000000
correct_times_valid_plus_0p1_format	band_train	valid	0.799870	0.006456	0.992880	0.000478	0.995000	0.000000
correct_times_valid_plus_0p1_format	band_train	joint	0.799844	0.006470	0.992880	0.000478	0.995000	0.000000
correct_times_valid_plus_0p1_format	band_train	valid_given_correct	0.800471	0.006680	0.992880	0.000478	0.995000	0.000000
correct_times_valid_plus_0p1_format	band_train	invalid_but_correct	0.199375	0.006725	0.007120	0.000478	0.005000	0.000000
correct_times_valid_plus_0p1_format	band_train	format	0.999974	0.000037	1.000000	0.000000	1.000000	0.000000
correct_times_valid_plus_0p1_format	band_train	syntactic	0.994167	0.000258	1.000000	0.000000	1.000000	0.000000
correct_times_valid_plus_0p1_format	band_ood	correct	0.921198	0.011004	0.987101	0.003484	0.996667	0.002357
correct_times_valid_plus_0p1_format	band_ood	valid	0.366901	0.009021	0.772348	0.031370	0.930000	0.033417
correct_times_valid_plus_0p1_format	band_ood	joint	0.362708	0.008203	0.763901	0.029215	0.923333	0.031710
correct_times_valid_plus_0p1_format	band_ood	valid_given_correct	0.393725	0.007082	0.773792	0.027040	0.926407	0.031367
correct_times_valid_plus_0p1_format	band_ood	invalid_but_correct	0.558490	0.008759	0.223200	0.025876	0.073333	0.031180
correct_times_valid_plus_0p1_format	band_ood	format	0.998047	0.001548	1.000000	0.000000	1.000000	0.000000
correct_times_valid_plus_0p1_format	band_ood	syntactic	0.981589	0.001983	1.000000	0.000000	1.000000	0.000000
correct_times_valid_plus_0p1_format	band_hard_tail	correct	0.900521	0.013493	0.990586	0.001433	1.000000	0.000000
correct_times_valid_plus_0p1_format	band_hard_tail	valid	0.237630	0.018589	0.673872	0.046829	0.913889	0.039869
correct_times_valid_plus_0p1_format	band_hard_tail	joint	0.232422	0.017197	0.661300	0.044046	0.911111	0.043744
correct_times_valid_plus_0p1_format	band_hard_tail	valid_given_correct	0.257929	0.016248	0.667535	0.043741	0.911111	0.043744
correct_times_valid_plus_0p1_format	band_hard_tail	invalid_but_correct	0.668099	0.010445	0.329286	0.042909	0.088889	0.043744
correct_times_valid_plus_0p1_format	band_hard_tail	format	0.997266	0.002026	1.000000	0.000000	1.000000	0.000000
correct_times_valid_plus_0p1_format	band_hard_tail	syntactic	0.975304	0.003288	1.000000	0.000000	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_train	correct	0.999271	0.000133	1.000000	0.000000	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_train	valid	0.799167	0.007572	0.992359	0.000535	0.995000	0.000000
correct_plus_line_valid_plus_0p1_format	band_train	joint	0.799115	0.007608	0.992327	0.000522	0.995000	0.000000
correct_plus_line_valid_plus_0p1_format	band_train	valid_given_correct	0.799698	0.007683	0.992327	0.000522	0.995000	0.000000
correct_plus_line_valid_plus_0p1_format	band_train	invalid_but_correct	0.200156	0.007694	0.007673	0.000522	0.005000	0.000000
correct_plus_line_valid_plus_0p1_format	band_train	format	0.999922	0.000110	1.000000	0.000000	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_train	syntactic	0.993958	0.000557	1.000000	0.000000	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_ood	correct	0.921719	0.010774	0.985742	0.002609	0.996667	0.002357
correct_plus_line_valid_plus_0p1_format	band_ood	valid	0.365443	0.010161	0.765933	0.030896	0.931667	0.030912
correct_plus_line_valid_plus_0p1_format	band_ood	joint	0.361250	0.009789	0.757950	0.029890	0.920000	0.025495
correct_plus_line_valid_plus_0p1_format	band_ood	valid_given_correct	0.391902	0.008365	0.768932	0.030765	0.923099	0.026303
correct_plus_line_valid_plus_0p1_format	band_ood	invalid_but_correct	0.560469	0.008454	0.227793	0.030440	0.076667	0.026247
correct_plus_line_valid_plus_0p1_format	band_ood	format	0.998047	0.001602	1.000000	0.000000	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_ood	syntactic	0.980807	0.001978	1.000000	0.000000	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_hard_tail	correct	0.900825	0.014590	0.988099	0.005704	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_hard_tail	valid	0.232465	0.018581	0.663816	0.046634	0.916667	0.041388
correct_plus_line_valid_plus_0p1_format	band_hard_tail	joint	0.226649	0.017217	0.651717	0.045852	0.902778	0.034916
correct_plus_line_valid_plus_0p1_format	band_hard_tail	valid_given_correct	0.251498	0.017178	0.659791	0.049306	0.902778	0.034916
correct_plus_line_valid_plus_0p1_format	band_hard_tail	invalid_but_correct	0.674175	0.015101	0.336382	0.050288	0.097222	0.034916
correct_plus_line_valid_plus_0p1_format	band_hard_tail	format	0.996962	0.002364	1.000000	0.000000	1.000000	0.000000
correct_plus_line_valid_plus_0p1_format	band_hard_tail	syntactic	0.974479	0.002436	1.000000	0.000000	1.000000	0.000000
correct_times_line_valid_plus_0p1_format	band_train	correct	0.999089	0.000327	1.000000	0.000000	1.000000	0.000000
correct_times_line_valid_plus_0p1_format	band_train	valid	0.803021	0.010805	0.992978	0.000519	0.995000	0.000000
correct_times_line_valid_plus_0p1_format	band_train	joint	0.802943	0.010743	0.992978	0.000519	0.995000	0.000000
correct_times_line_valid_plus_0p1_format	band_train	valid_given_correct	0.803677	0.010887	0.992978	0.000519	0.995000	0.000000
correct_times_line_valid_plus_0p1_format	band_train	invalid_but_correct	0.196146	0.010907	0.007022	0.000519	0.005000	0.000000
correct_times_line_valid_plus_0p1_format	band_train	format	0.999974	0.000037	1.000000	0.000000	1.000000	0.000000
correct_times_line_valid_plus_0p1_format	band_train	syntactic	0.994688	0.000230	1.000000	0.000000	1.000000	0.000000
correct_times_line_valid_plus_0p1_format	band_ood	correct	0.921667	0.010795	0.983946	0.002747	0.996667	0.002357
correct_times_line_valid_plus_0p1_format	band_ood	valid	0.369245	0.007760	0.772424	0.029374	0.930000	0.032404
correct_times_line_valid_plus_0p1_format	band_ood	joint	0.365625	0.007262	0.764835	0.026737	0.920000	0.025495
correct_times_line_valid_plus_0p1_format	band_ood	valid_given_correct	0.396674	0.004486	0.777304	0.026846	0.923099	0.026303
correct_times_line_valid_plus_0p1_format	band_ood	invalid_but_correct	0.556042	0.005710	0.219111	0.026289	0.076667	0.026247
correct_times_line_valid_plus_0p1_format	band_ood	format	0.997812	0.001905	1.000000	0.000000	1.000000	0.000000
correct_times_line_valid_plus_0p1_format	band_ood	syntactic	0.982266	0.002640	1.000000	0.000000	1.000000	0.000000
correct_times_line_valid_plus_0p1_format	band_hard_tail	correct	0.900608	0.014226	0.985598	0.004746	1.000000	0.000000
correct_times_line_valid_plus_0p1_format	band_hard_tail	valid	0.242188	0.020202	0.675424	0.042517	0.919444	0.039869
correct_times_line_valid_plus_0p1_format	band_hard_tail	joint	0.237023	0.019297	0.663595	0.039001	0.905556	0.032155
correct_times_line_valid_plus_0p1_format	band_hard_tail	valid_given_correct	0.262998	0.018475	0.673469	0.042372	0.905556	0.032155
correct_times_line_valid_plus_0p1_format	band_hard_tail	invalid_but_correct	0.663585	0.012937	0.322003	0.043094	0.094444	0.032155
correct_times_line_valid_plus_0p1_format	band_hard_tail	format	0.996918	0.002494	1.000000	0.000000	1.000000	0.000000
correct_times_line_valid_plus_0p1_format	band_hard_tail	syntactic	0.975608	0.003562	1.000000	0.000000	1.000000	0.000000
