schema	step	metric	k	mean	std
correct_plus_0p1_format	4	joint	64	1.000000	0.000000
correct_plus_0p1_format	4	valid_given_correct	1	0.711719	0.009653
correct_plus_0p1_format	4	valid_given_correct	8	0.999397	0.000102
correct_plus_0p1_format	4	valid_given_correct	64	1.000000	0.000000
correct_plus_0p1_format	4	invalid_but_correct	1	0.288281	0.009653
correct_plus_0p1_format	4	invalid_but_correct	8	0.000603	0.000102
correct_plus_0p1_format	4	invalid_but_correct	64	0.000000	0.000000
correct_plus_0p1_format	5	correct	1	1.000000	0.000000
correct_plus_0p1_format	5	correct	8	1.000000	0.000000
correct_plus_0p1_format	5	correct	64	1.000000	0.000000
correct_plus_0p1_format	5	valid	1	0.714583	0.027246
correct_plus_0p1_format	5	valid	8	0.998301	0.000883
correct_plus_0p1_format	5	valid	64	1.000000	0.000000
correct_plus_0p1_format	5	joint	1	0.714583	0.027246
correct_plus_0p1_format	5	joint	8	0.998301	0.000883
correct_plus_0p1_format	5	joint	64	1.000000	0.000000
correct_plus_0p1_format	5	valid_given_correct	1	0.714583	0.027246
correct_plus_0p1_format	5	valid_given_correct	8	0.998301	0.000883
correct_plus_0p1_format	5	valid_given_correct	64	1.000000	0.000000
correct_plus_0p1_format	5	invalid_but_correct	1	0.285417	0.027246
correct_plus_0p1_format	5	invalid_but_correct	8	0.001699	0.000883
correct_plus_0p1_format	5	invalid_but_correct	64	0.000000	0.000000
correct_plus_0p1_format	6	correct	1	0.997917	0.001841
correct_plus_0p1_format	6	correct	8	1.000000	0.000000
correct_plus_0p1_format	6	correct	64	1.000000	0.000000
correct_plus_0p1_format	6	valid	1	0.597135	0.015836
correct_plus_0p1_format	6	valid	8	0.993126	0.002757
correct_plus_0p1_format	6	valid	64	1.000000	0.000000
correct_plus_0p1_format	6	joint	1	0.597135	0.015836
correct_plus_0p1_format	6	joint	8	0.993126	0.002757
correct_plus_0p1_format	6	joint	64	1.000000	0.000000
correct_plus_0p1_format	6	valid_given_correct	1	0.598369	0.015335
correct_plus_0p1_format	6	valid_given_correct	8	0.993126	0.002757
correct_plus_0p1_format	6	valid_given_correct	64	1.000000	0.000000
correct_plus_0p1_format	6	invalid_but_correct	1	0.400781	0.015001
correct_plus_0p1_format	6	invalid_but_correct	8	0.006874	0.002757
correct_plus_0p1_format	6	invalid_but_correct	64	0.000000	0.000000
correct_plus_0p1_format	7	correct	1	0.998437	0.002210
correct_plus_0p1_format	7	correct	8	1.000000	0.000000
correct_plus_0p1_format	7	correct	64	1.000000	0.000000
correct_plus_0p1_format	7	valid	1	0.576042	0.012058
correct_plus_0p1_format	7	valid	8	0.992189	0.001905
correct_plus_0p1_format	7	valid	64	1.000000	0.000000
correct_plus_0p1_format	7	joint	1	0.575781	0.012418
correct_plus_0p1_format	7	joint	8	0.992131	0.001968
correct_plus_0p1_format	7	joint	64	1.000000	0.000000
correct_plus_0p1_format	7	valid_given_correct	1	0.576658	0.011208
correct_plus_0p1_format	7	valid_given_correct	8	0.992131	0.001968
correct_plus_0p1_format	7	valid_given_correct	64	1.000000	0.000000
correct_plus_0p1_format	7	invalid_but_correct	1	0.422656	0.010266
correct_plus_0p1_format	7	invalid_but_correct	8	0.007869	0.001968
correct_plus_0p1_format	7	invalid_but_correct	64	0.000000	0.000000
correct_plus_0p1_format	8	correct	1	0.998958	0.001473
correct_plus_0p1_format	8	correct	8	1.000000	0.000000
correct_plus_0p1_format	8	correct	64	1.000000	0.000000
correct_plus_0p1_format	8	valid	1	0.687240	0.017601
correct_plus_0p1_format	8	valid	8	0.997736	0.000554
correct_plus_0p1_format	8	valid	64	1.000000	0.000000
correct_plus_0p1_format	8	joint	1	0.687240	0.017601
correct_plus_0p1_format	8	joint	8	0.997736	0.000554
correct_plus_0p1_format	8	joint	64	1.000000	0.000000
correct_plus_0p1_format	8	valid_given_correct	1	0.687983	0.018636
correct_plus_0p1_format	8	valid_given_correct	8	0.997736	0.000554
correct_plus_0p1_format	8	valid_given_correct	64	1.000000	0.000000
correct_plus_0p1_format	8	invalid_but_correct	1	0.311719	0.019051
correct_plus_0p1_format	8	invalid_but_correct	8	0.002264	0.000554
correct_plus_0p1_format	8	invalid_but_correct	64	0.000000	0.000000
correct_plus_0p1_format	9	correct	1	0.996094	0.003552
correct_plus_0p1_format	9	correct	8	1.000000	0.000000
correct_plus_0p1_format	9	correct	64	1.000000	0.000000
correct_plus_0p1_format	9	valid	1	0.599479	0.013995
correct_plus_0p1_format	9	valid	8	0.945592	0.000243
correct_plus_0p1_format	9	valid	64	0.950000	0.000000
correct_plus_0p1_format	9	joint	1	0.599479	0.013995
correct_plus_0p1_format	9	joint	8	0.945592	0.000243
correct_plus_0p1_format	9	joint	64	0.950000	0.000000
correct_plus_0p1_format	9	valid_given_correct	1	0.601887	0.016205
correct_plus_0p1_format	9	valid_given_correct	8	0.945592	0.000243
correct_plus_0p1_format	9	valid_given_correct	64	0.950000	0.000000
correct_plus_0p1_format	9	invalid_but_correct	1	0.396615	0.017520
correct_plus_0p1_format	9	invalid_but_correct	8	0.054408	0.000243
correct_plus_0p1_format	9	invalid_but_correct	64	0.050000	0.000000
correct_plus_0p1_format	10	correct	1	1.000000	0.000000
correct_plus_0p1_format	10	correct	8	1.000000	0.000000
correct_plus_0p1_format	10	correct	64	1.000000	0.000000
correct_plus_0p1_format	10	valid	1	0.633073	0.033172
correct_plus_0p1_format	10	valid	8	0.993712	0.004489
correct_plus_0p1_format	10	valid	64	1.000000	0.000000
correct_plus_0p1_format	10	joint	1	0.633073	0.033172
correct_plus_0p1_format	10	joint	8	0.993712	0.004489
correct_plus_0p1_format	10	joint	64	1.000000	0.000000
correct_plus_0p1_format	10	valid_given_correct	1	0.633073	0.033172
correct_plus_0p1_format	10	valid_given_correct	8	0.993712	0.004489
correct_plus_0p1_format	10	valid_given_correct	64	1.000000	0.000000
correct_plus_0p1_format	10	invalid_but_correct	1	0.366927	0.033172
correct_plus_0p1_format	10	invalid_but_correct	8	0.006288	0.004489
correct_plus_0p1_format	10	invalid_but_correct	64	0.000000	0.000000
correct_plus_0p1_format	11	correct	1	0.965625	0.007734
correct_plus_0p1_format	11	correct	8	0.993281	0.008462
correct_plus_0p1_format	11	correct	64	1.000000	0.000000
correct_plus_0p1_format	11	valid	1	0.575521	0.023648
correct_plus_0p1_format	11	valid	8	0.957486	0.017216
correct_plus_0p1_format	11	valid	64	0.966667	0.023570
correct_plus_0p1_format	11	joint	1	0.574740	0.022664
correct_plus_0p1_format	11	joint	8	0.954485	0.012991
correct_plus_0p1_format	11	joint	64	0.966667	0.023570
correct_plus_0p1_format	11	valid_given_correct	1	0.595053	0.018803
correct_plus_0p1_format	11	valid_given_correct	8	0.960940	0.010022
correct_plus_0p1_format	11	valid_given_correct	64	0.966667	0.023570
correct_plus_0p1_format	11	invalid_but_correct	1	0.390885	0.015127
correct_plus_0p1_format	11	invalid_but_correct	8	0.038796	0.010015
correct_plus_0p1_format	11	invalid_but_correct	64	0.033333	0.023570
correct_plus_0p1_format	12	correct	1	0.999479	0.000737
correct_plus_0p1_format	12	correct	8	1.000000	0.000000
correct_plus_0p1_format	12	correct	64	1.000000	0.000000
correct_plus_0p1_format	12	valid	1	0.606510	0.016466
correct_plus_0p1_format	12	valid	8	0.947581	0.001364
correct_plus_0p1_format	12	valid	64	0.950000	0.000000
correct_plus_0p1_format	12	joint	1	0.606510	0.016466
correct_plus_0p1_format	12	joint	8	0.947581	0.001364
correct_plus_0p1_format	12	joint	64	0.950000	0.000000
correct_plus_0p1_format	12	valid_given_correct	1	0.606839	0.016928
correct_plus_0p1_format	12	valid_given_correct	8	0.947581	0.001364
correct_plus_0p1_format	12	valid_given_correct	64	0.950000	0.000000
correct_plus_0p1_format	12	invalid_but_correct	1	0.392969	0.017199
correct_plus_0p1_format	12	invalid_but_correct	8	0.052419	0.001364
correct_plus_0p1_format	12	invalid_but_correct	64	0.050000	0.000000
correct_plus_0p1_format	13	correct	1	0.890625	0.018793
correct_plus_0p1_format	13	correct	8	0.942875	0.019651
correct_plus_0p1_format	13	correct	64	0.966667	0.023570
correct_plus_0p1_format	13	valid	1	0.410417	0.056034
correct_plus_0p1_format	13	valid	8	0.871559	0.014825
correct_plus_0p1_format	13	valid	64	0.900000	0.000000
correct_plus_0p1_format	13	joint	1	0.402865	0.048703
correct_plus_0p1_format	13	joint	8	0.870043	0.014038
correct_plus_0p1_format	13	joint	64	0.900000	0.000000
correct_plus_0p1_format	13	valid_given_correct	1	0.453547	0.062879
correct_plus_0p1_format	13	valid_given_correct	8	0.923166	0.024765
correct_plus_0p1_format	13	valid_given_correct	64	0.931579	0.022330
correct_plus_0p1_format	13	invalid_but_correct	1	0.487760	0.065703
correct_plus_0p1_format	13	invalid_but_correct	8	0.072832	0.024249
correct_plus_0p1_format	13	invalid_but_correct	64	0.066667	0.023570
correct_plus_0p1_format	14	correct	1	0.951823	0.022735
correct_plus_0p1_format	14	correct	8	0.996711	0.003722
correct_plus_0p1_format	14	correct	64	1.000000	0.000000
correct_plus_0p1_format	14	valid	1	0.372917	0.012505
correct_plus_0p1_format	14	valid	8	0.858704	0.018178
correct_plus_0p1_format	14	valid	64	0.933333	0.023570
correct_plus_0p1_format	14	joint	1	0.372396	0.012843
correct_plus_0p1_format	14	joint	8	0.857003	0.020434
correct_plus_0p1_format	14	joint	64	0.933333	0.023570
correct_plus_0p1_format	14	valid_given_correct	1	0.391305	0.011765
correct_plus_0p1_format	14	valid_given_correct	8	0.859767	0.017333
correct_plus_0p1_format	14	valid_given_correct	64	0.933333	0.023570
correct_plus_0p1_format	14	invalid_but_correct	1	0.579427	0.019415
correct_plus_0p1_format	14	invalid_but_correct	8	0.139708	0.016714
correct_plus_0p1_format	14	invalid_but_correct	64	0.066667	0.023570
correct_plus_0p1_format	15	correct	1	0.965365	0.013263
correct_plus_0p1_format	15	correct	8	0.999992	0.000012
correct_plus_0p1_format	15	correct	64	1.000000	0.000000
correct_plus_0p1_format	15	valid	1	0.415885	0.043923
correct_plus_0p1_format	15	valid	8	0.903930	0.028228
correct_plus_0p1_format	15	valid	64	1.000000	0.000000
correct_plus_0p1_format	15	joint	1	0.415625	0.044153
correct_plus_0p1_format	15	joint	8	0.903264	0.029066
correct_plus_0p1_format	15	joint	64	1.000000	0.000000
correct_plus_0p1_format	15	valid_given_correct	1	0.430489	0.044583
correct_plus_0p1_format	15	valid_given_correct	8	0.903271	0.029066
correct_plus_0p1_format	15	valid_given_correct	64	1.000000	0.000000
correct_plus_0p1_format	15	invalid_but_correct	1	0.549740	0.043476
correct_plus_0p1_format	15	invalid_but_correct	8	0.096728	0.029066
correct_plus_0p1_format	15	invalid_but_correct	64	0.000000	0.000000
correct_plus_0p1_format	16	correct	1	0.961979	0.044971
correct_plus_0p1_format	16	correct	8	0.999532	0.000661
correct_plus_0p1_format	16	correct	64	1.000000	0.000000
correct_plus_0p1_format	16	valid	1	0.314583	0.031826
correct_plus_0p1_format	16	valid	8	0.867045	0.065182
correct_plus_0p1_format	16	valid	64	1.000000	0.000000
correct_plus_0p1_format	16	joint	1	0.312500	0.034728
correct_plus_0p1_format	16	joint	8	0.856600	0.079936
correct_plus_0p1_format	16	joint	64	0.983333	0.023570
correct_plus_0p1_format	16	valid_given_correct	1	0.323874	0.022140
correct_plus_0p1_format	16	valid_given_correct	8	0.856948	0.079444
correct_plus_0p1_format	16	valid_given_correct	64	0.983333	0.023570
correct_plus_0p1_format	16	invalid_but_correct	1	0.649479	0.013140
correct_plus_0p1_format	16	invalid_but_correct	8	0.142932	0.079276
correct_plus_0p1_format	16	invalid_but_correct	64	0.016667	0.023570
correct_plus_0p1_format	17	correct	1	0.901563	0.079106
correct_plus_0p1_format	17	correct	8	0.997482	0.003497
correct_plus_0p1_format	17	correct	64	1.000000	0.000000
correct_plus_0p1_format	17	valid	1	0.246094	0.021566
correct_plus_0p1_format	17	valid	8	0.755818	0.023990
correct_plus_0p1_format	17	valid	64	0.983333	0.023570
correct_plus_0p1_format	17	joint	1	0.225521	0.006639
correct_plus_0p1_format	17	joint	8	0.742047	0.004925
correct_plus_0p1_format	17	joint	64	0.983333	0.023570
correct_plus_0p1_format	17	valid_given_correct	1	0.251547	0.016096
correct_plus_0p1_format	17	valid_given_correct	8	0.743944	0.007380
correct_plus_0p1_format	17	valid_given_correct	64	0.983333	0.023570
correct_plus_0p1_format	17	invalid_but_correct	1	0.676042	0.072779
correct_plus_0p1_format	17	invalid_but_correct	8	0.255436	0.008206
correct_plus_0p1_format	17	invalid_but_correct	64	0.016667	0.023570
correct_plus_0p1_format	18	correct	1	0.979167	0.012538
correct_plus_0p1_format	18	correct	8	0.999996	0.000006
correct_plus_0p1_format	18	correct	64	1.000000	0.000000
correct_plus_0p1_format	18	valid	1	0.150000	0.044488
correct_plus_0p1_format	18	valid	8	0.642416	0.123672
correct_plus_0p1_format	18	valid	64	0.966667	0.047140
correct_plus_0p1_format	18	joint	1	0.150000	0.044488
correct_plus_0p1_format	18	joint	8	0.642416	0.123672
correct_plus_0p1_format	18	joint	64	0.966667	0.047140
correct_plus_0p1_format	18	valid_given_correct	1	0.152960	0.044917
correct_plus_0p1_format	18	valid_given_correct	8	0.642419	0.123674
correct_plus_0p1_format	18	valid_given_correct	64	0.966667	0.047140
correct_plus_0p1_format	18	invalid_but_correct	1	0.829167	0.040516
correct_plus_0p1_format	18	invalid_but_correct	8	0.357580	0.123675
correct_plus_0p1_format	18	invalid_but_correct	64	0.033333	0.047140
correct_plus_0p1_format	19	correct	1	0.816667	0.043965
correct_plus_0p1_format	19	correct	8	0.973346	0.013862
correct_plus_0p1_format	19	correct	64	1.000000	0.000000
correct_plus_0p1_format	19	valid	1	0.134115	0.004872
correct_plus_0p1_format	19	valid	8	0.504456	0.033429
correct_plus_0p1_format	19	valid	64	0.883333	0.062361
correct_plus_0p1_format	19	joint	1	0.132292	0.004788
correct_plus_0p1_format	19	joint	8	0.497024	0.031087
correct_plus_0p1_format	19	joint	64	0.883333	0.062361
correct_plus_0p1_format	19	valid_given_correct	1	0.162163	0.003612
correct_plus_0p1_format	19	valid_given_correct	8	0.510664	0.031309
correct_plus_0p1_format	19	valid_given_correct	64	0.883333	0.062361
correct_plus_0p1_format	19	invalid_but_correct	1	0.684375	0.039379
correct_plus_0p1_format	19	invalid_but_correct	8	0.476322	0.031848
correct_plus_0p1_format	19	invalid_but_correct	64	0.116667	0.062361
correct_plus_0p1_format	20	correct	1	0.762760	0.046353
correct_plus_0p1_format	20	correct	8	0.962909	0.034677
correct_plus_0p1_format	20	correct	64	1.000000	0.000000
correct_plus_0p1_format	20	valid	1	0.055729	0.007873
correct_plus_0p1_format	20	valid	8	0.342826	0.035606
correct_plus_0p1_format	20	valid	64	0.850000	0.040825
correct_plus_0p1_format	20	joint	1	0.051823	0.005156
correct_plus_0p1_format	20	joint	8	0.318126	0.017294
correct_plus_0p1_format	20	joint	64	0.816667	0.023570
correct_plus_0p1_format	20	valid_given_correct	1	0.068514	0.010245
correct_plus_0p1_format	20	valid_given_correct	8	0.331450	0.029995
correct_plus_0p1_format	20	valid_given_correct	64	0.816667	0.023570
correct_plus_0p1_format	20	invalid_but_correct	1	0.710938	0.050715
correct_plus_0p1_format	20	invalid_but_correct	8	0.644783	0.051558
correct_plus_0p1_format	20	invalid_but_correct	64	0.183333	0.023570
correct_plus_valid_plus_0p1_format	1	correct	1	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	valid	1	0.999219	0.000000
correct_plus_valid_plus_0p1_format	1	valid	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	valid	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	joint	1	0.999219	0.000000
correct_plus_valid_plus_0p1_format	1	joint	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	joint	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	valid_given_correct	1	0.999219	0.000000
correct_plus_valid_plus_0p1_format	1	valid_given_correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	valid_given_correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	invalid_but_correct	1	0.000781	0.000000
correct_plus_valid_plus_0p1_format	1	invalid_but_correct	8	0.000000	0.000000
correct_plus_valid_plus_0p1_format	1	invalid_but_correct	64	0.000000	0.000000
correct_plus_valid_plus_0p1_format	2	correct	1	1.000000	0.000000
correct_plus_valid_plus_0p1_format	2	correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	2	correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	2	valid	1	0.927865	0.006639
correct_plus_valid_plus_0p1_format	2	valid	8	0.999973	0.000029
correct_plus_valid_plus_0p1_format	2	valid	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	2	joint	1	0.927865	0.006639
correct_plus_valid_plus_0p1_format	2	joint	8	0.999973	0.000029
correct_plus_valid_plus_0p1_format	2	joint	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	2	valid_given_correct	1	0.927865	0.006639
correct_plus_valid_plus_0p1_format	2	valid_given_correct	8	0.999973	0.000029
correct_plus_valid_plus_0p1_format	2	valid_given_correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	2	invalid_but_correct	1	0.072135	0.006639
correct_plus_valid_plus_0p1_format	2	invalid_but_correct	8	0.000027	0.000029
correct_plus_valid_plus_0p1_format	2	invalid_but_correct	64	0.000000	0.000000
correct_plus_valid_plus_0p1_format	3	correct	1	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	valid	1	0.958594	0.008582
correct_plus_valid_plus_0p1_format	3	valid	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	valid	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	joint	1	0.958594	0.008582
correct_plus_valid_plus_0p1_format	3	joint	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	joint	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	valid_given_correct	1	0.958594	0.008582
correct_plus_valid_plus_0p1_format	3	valid_given_correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	valid_given_correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	invalid_but_correct	1	0.041406	0.008582
correct_plus_valid_plus_0p1_format	3	invalid_but_correct	8	0.000000	0.000000
correct_plus_valid_plus_0p1_format	3	invalid_but_correct	64	0.000000	0.000000
correct_plus_valid_plus_0p1_format	4	correct	1	0.999740	0.000368
correct_plus_valid_plus_0p1_format	4	correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	4	correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	4	valid	1	0.783333	0.007254
correct_plus_valid_plus_0p1_format	4	valid	8	0.999295	0.000532
correct_plus_valid_plus_0p1_format	4	valid	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	4	joint	1	0.783333	0.007254
correct_plus_valid_plus_0p1_format	4	joint	8	0.999295	0.000532
correct_plus_valid_plus_0p1_format	4	joint	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	4	valid_given_correct	1	0.783538	0.007333
correct_plus_valid_plus_0p1_format	4	valid_given_correct	8	0.999295	0.000532
correct_plus_valid_plus_0p1_format	4	valid_given_correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	4	invalid_but_correct	1	0.216406	0.007356
correct_plus_valid_plus_0p1_format	4	invalid_but_correct	8	0.000705	0.000532
correct_plus_valid_plus_0p1_format	4	invalid_but_correct	64	0.000000	0.000000
correct_plus_valid_plus_0p1_format	5	correct	1	1.000000	0.000000
correct_plus_valid_plus_0p1_format	5	correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	5	correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	5	valid	1	0.803385	0.018502
correct_plus_valid_plus_0p1_format	5	valid	8	0.999433	0.000171
correct_plus_valid_plus_0p1_format	5	valid	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	5	joint	1	0.803385	0.018502
correct_plus_valid_plus_0p1_format	5	joint	8	0.999433	0.000171
correct_plus_valid_plus_0p1_format	5	joint	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	5	valid_given_correct	1	0.803385	0.018502
correct_plus_valid_plus_0p1_format	5	valid_given_correct	8	0.999433	0.000171
correct_plus_valid_plus_0p1_format	5	valid_given_correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	5	invalid_but_correct	1	0.196615	0.018502
correct_plus_valid_plus_0p1_format	5	invalid_but_correct	8	0.000567	0.000171
correct_plus_valid_plus_0p1_format	5	invalid_but_correct	64	0.000000	0.000000
correct_plus_valid_plus_0p1_format	6	correct	1	0.997135	0.003513
correct_plus_valid_plus_0p1_format	6	correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	6	correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	6	valid	1	0.682552	0.009469
correct_plus_valid_plus_0p1_format	6	valid	8	0.994575	0.004175
correct_plus_valid_plus_0p1_format	6	valid	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	6	joint	1	0.682292	0.009744
correct_plus_valid_plus_0p1_format	6	joint	8	0.994565	0.004188
correct_plus_valid_plus_0p1_format	6	joint	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	6	valid_given_correct	1	0.684236	0.008281
correct_plus_valid_plus_0p1_format	6	valid_given_correct	8	0.994565	0.004188
correct_plus_valid_plus_0p1_format	6	valid_given_correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	6	invalid_but_correct	1	0.314844	0.007734
correct_plus_valid_plus_0p1_format	6	invalid_but_correct	8	0.005435	0.004188
correct_plus_valid_plus_0p1_format	6	invalid_but_correct	64	0.000000	0.000000
correct_plus_valid_plus_0p1_format	7	correct	1	0.998698	0.001841
correct_plus_valid_plus_0p1_format	7	correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	7	correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	7	valid	1	0.640885	0.003738
correct_plus_valid_plus_0p1_format	7	valid	8	0.989024	0.002455
correct_plus_valid_plus_0p1_format	7	valid	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	7	joint	1	0.640885	0.003738
correct_plus_valid_plus_0p1_format	7	joint	8	0.989024	0.002455
correct_plus_valid_plus_0p1_format	7	joint	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	7	valid_given_correct	1	0.641719	0.003117
correct_plus_valid_plus_0p1_format	7	valid_given_correct	8	0.989024	0.002455
correct_plus_valid_plus_0p1_format	7	valid_given_correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	7	invalid_but_correct	1	0.357813	0.002923
correct_plus_valid_plus_0p1_format	7	invalid_but_correct	8	0.010976	0.002455
correct_plus_valid_plus_0p1_format	7	invalid_but_correct	64	0.000000	0.000000
correct_plus_valid_plus_0p1_format	8	correct	1	0.999479	0.000737
correct_plus_valid_plus_0p1_format	8	correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	8	correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	8	valid	1	0.779687	0.006751
correct_plus_valid_plus_0p1_format	8	valid	8	0.999198	0.000327
correct_plus_valid_plus_0p1_format	8	valid	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	8	joint	1	0.779687	0.006751
correct_plus_valid_plus_0p1_format	8	joint	8	0.999198	0.000327
correct_plus_valid_plus_0p1_format	8	joint	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	8	valid_given_correct	1	0.780096	0.006961
correct_plus_valid_plus_0p1_format	8	valid_given_correct	8	0.999198	0.000327
correct_plus_valid_plus_0p1_format	8	valid_given_correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	8	invalid_but_correct	1	0.219792	0.007026
correct_plus_valid_plus_0p1_format	8	invalid_but_correct	8	0.000802	0.000327
correct_plus_valid_plus_0p1_format	8	invalid_but_correct	64	0.000000	0.000000
correct_plus_valid_plus_0p1_format	9	correct	1	0.997396	0.001841
correct_plus_valid_plus_0p1_format	9	correct	8	1.000000	0.000000
correct_plus_valid_plus_0p1_format	9	correct	64	1.000000	0.000000
correct_plus_valid_plus_0p1_format	9	valid	1	0.702865	0.004247
