suite      arm                      task                                     metric           alex  gruenau     diff
standard   nl_exact_band25          bbh_cot_fewshot_disambiguation_qa        exact_match    0.7080   0.7080  +0.0000
standard   nl_exact_band25          bbh_cot_fewshot_dyck_languages           exact_match    0.0720   0.0640  -0.0080
standard   nl_exact_band25          bbh_cot_fewshot_formal_fallacies         exact_match    0.6400   0.6200  -0.0200
standard   nl_exact_band25          bbh_cot_fewshot_geometric_shapes         exact_match    0.6280   0.5960  -0.0320
standard   nl_exact_band25          bbh_cot_fewshot_hyperbaton               exact_match    0.9000   0.9000  +0.0000
standard   nl_exact_band25          bbh_cot_fewshot_logical_deduction_five_objects exact_match    0.5360   0.5640  +0.0280
standard   nl_exact_band25          bbh_cot_fewshot_logical_deduction_seven_objects exact_match    0.3640   0.3400  -0.0240
standard   nl_exact_band25          bbh_cot_fewshot_logical_deduction_three_objects exact_match    0.8400   0.8320  -0.0080
standard   nl_exact_band25          bbh_cot_fewshot_movie_recommendation     exact_match    0.6680   0.6760  +0.0080
standard   nl_exact_band25          bbh_cot_fewshot_multistep_arithmetic_two exact_match    0.8680   0.8720  +0.0040
standard   nl_exact_band25          bbh_cot_fewshot_navigate                 exact_match    0.9560   0.9560  +0.0000
standard   nl_exact_band25          bbh_cot_fewshot_object_counting          exact_match    0.8360   0.8280  -0.0080
standard   nl_exact_band25          bbh_cot_fewshot_penguins_in_a_table      exact_match    0.7123   0.7192  +0.0068
standard   nl_exact_band25          bbh_cot_fewshot_reasoning_about_colored_objects exact_match    0.7960   0.8000  +0.0040
standard   nl_exact_band25          bbh_cot_fewshot_ruin_names               exact_match    0.5160   0.5200  +0.0040
standard   nl_exact_band25          bbh_cot_fewshot_salient_translation_error_detection exact_match    0.4880   0.5000  +0.0120
standard   nl_exact_band25          bbh_cot_fewshot_snarks                   exact_match    0.6742   0.6910  +0.0169
standard   nl_exact_band25          bbh_cot_fewshot_sports_understanding     exact_match    0.8480   0.8440  -0.0040
standard   nl_exact_band25          bbh_cot_fewshot_temporal_sequences       exact_match    0.7160   0.7080  -0.0080
standard   nl_exact_band25          bbh_cot_fewshot_tracking_shuffled_objects_five_objects exact_match    0.6520   0.6520  +0.0000
standard   nl_exact_band25          bbh_cot_fewshot_tracking_shuffled_objects_seven_objects exact_match    0.5120   0.5120  +0.0000
standard   nl_exact_band25          bbh_cot_fewshot_tracking_shuffled_objects_three_objects exact_match    0.8800   0.8840  +0.0040
standard   nl_exact_band25          bbh_cot_fewshot_web_of_lies              exact_match    1.0000   1.0000  +0.0000
standard   nl_exact_band25          bbh_cot_fewshot_word_sorting             exact_match    0.3320   0.3320  +0.0000
standard   nl_exact_band25          gsm8k                                    exact_match    0.7923   0.7961  +0.0038
standard   nl_exact_band25          gsm8k                                    exact_match    0.7862   0.7892  +0.0030
standard   nl_exact_band25          hellaswag                                acc            0.5604   0.5604  +0.0000
standard   nl_exact_band25          hellaswag                                acc_norm       0.7309   0.7309  +0.0000
standard   nl_exact_band25          hendrycks_math500                        exact_match    0.0000   0.0000  +0.0000
standard   nl_exact_band25          mmlu                                     acc            0.6924   0.6924  +0.0000
standard   nl_exact_band25          mmlu_abstract_algebra                    acc            0.4200   0.4200  +0.0000
standard   nl_exact_band25          mmlu_anatomy                             acc            0.7333   0.7333  +0.0000
standard   nl_exact_band25          mmlu_astronomy                           acc            0.8355   0.8355  +0.0000
standard   nl_exact_band25          mmlu_business_ethics                     acc            0.7900   0.7900  +0.0000
standard   nl_exact_band25          mmlu_clinical_knowledge                  acc            0.7774   0.7774  +0.0000
standard   nl_exact_band25          mmlu_college_biology                     acc            0.8264   0.8264  +0.0000
standard   nl_exact_band25          mmlu_college_chemistry                   acc            0.4900   0.4900  +0.0000
standard   nl_exact_band25          mmlu_college_computer_science            acc            0.6700   0.6700  +0.0000
standard   nl_exact_band25          mmlu_college_mathematics                 acc            0.3900   0.3900  +0.0000
standard   nl_exact_band25          mmlu_college_medicine                    acc            0.6936   0.6936  +0.0000
standard   nl_exact_band25          mmlu_college_physics                     acc            0.4706   0.4706  +0.0000
standard   nl_exact_band25          mmlu_computer_security                   acc            0.8400   0.8400  +0.0000
standard   nl_exact_band25          mmlu_conceptual_physics                  acc            0.7319   0.7319  +0.0000
standard   nl_exact_band25          mmlu_econometrics                        acc            0.6491   0.6491  +0.0000
standard   nl_exact_band25          mmlu_electrical_engineering              acc            0.7241   0.7241  +0.0000
standard   nl_exact_band25          mmlu_elementary_mathematics              acc            0.6296   0.6296  +0.0000
standard   nl_exact_band25          mmlu_formal_logic                        acc            0.5000   0.5000  +0.0000
standard   nl_exact_band25          mmlu_global_facts                        acc            0.4300   0.4300  +0.0000
standard   nl_exact_band25          mmlu_high_school_biology                 acc            0.8452   0.8452  +0.0000
standard   nl_exact_band25          mmlu_high_school_chemistry               acc            0.6108   0.6108  +0.0000
standard   nl_exact_band25          mmlu_high_school_computer_science        acc            0.7700   0.7700  +0.0000
standard   nl_exact_band25          mmlu_high_school_european_history        acc            0.8061   0.8061  +0.0000
standard   nl_exact_band25          mmlu_high_school_geography               acc            0.8535   0.8535  +0.0000
standard   nl_exact_band25          mmlu_high_school_government_and_politics acc            0.9067   0.9067  +0.0000
standard   nl_exact_band25          mmlu_high_school_macroeconomics          acc            0.7462   0.7462  +0.0000
standard   nl_exact_band25          mmlu_high_school_mathematics             acc            0.3556   0.3556  +0.0000
standard   nl_exact_band25          mmlu_high_school_microeconomics          acc            0.8824   0.8824  +0.0000
standard   nl_exact_band25          mmlu_high_school_physics                 acc            0.5695   0.5695  +0.0000
standard   nl_exact_band25          mmlu_high_school_psychology              acc            0.8826   0.8826  +0.0000
standard   nl_exact_band25          mmlu_high_school_statistics              acc            0.6759   0.6759  +0.0000
standard   nl_exact_band25          mmlu_high_school_us_history              acc            0.8333   0.8333  +0.0000
standard   nl_exact_band25          mmlu_high_school_world_history           acc            0.8608   0.8608  +0.0000
standard   nl_exact_band25          mmlu_human_aging                         acc            0.7578   0.7578  +0.0000
standard   nl_exact_band25          mmlu_human_sexuality                     acc            0.7863   0.7863  +0.0000
standard   nl_exact_band25          mmlu_humanities                          acc            0.6062   0.6062  +0.0000
standard   nl_exact_band25          mmlu_international_law                   acc            0.8512   0.8512  +0.0000
standard   nl_exact_band25          mmlu_jurisprudence                       acc            0.8148   0.8148  +0.0000
standard   nl_exact_band25          mmlu_logical_fallacies                   acc            0.8221   0.8221  +0.0000
standard   nl_exact_band25          mmlu_machine_learning                    acc            0.6339   0.6339  +0.0000
standard   nl_exact_band25          mmlu_management                          acc            0.8641   0.8641  +0.0000
standard   nl_exact_band25          mmlu_marketing                           acc            0.9274   0.9274  +0.0000
standard   nl_exact_band25          mmlu_medical_genetics                    acc            0.8300   0.8300  +0.0000
standard   nl_exact_band25          mmlu_miscellaneous                       acc            0.8442   0.8442  +0.0000
standard   nl_exact_band25          mmlu_moral_disputes                      acc            0.7457   0.7457  +0.0000
standard   nl_exact_band25          mmlu_moral_scenarios                     acc            0.3263   0.3263  +0.0000
standard   nl_exact_band25          mmlu_nutrition                           acc            0.7614   0.7614  +0.0000
standard   nl_exact_band25          mmlu_other                               acc            0.7567   0.7567  +0.0000
standard   nl_exact_band25          mmlu_philosophy                          acc            0.7267   0.7267  +0.0000
standard   nl_exact_band25          mmlu_prehistory                          acc            0.8086   0.8086  +0.0000
standard   nl_exact_band25          mmlu_professional_accounting             acc            0.5461   0.5461  +0.0000
standard   nl_exact_band25          mmlu_professional_law                    acc            0.5059   0.5059  +0.0000
standard   nl_exact_band25          mmlu_professional_medicine               acc            0.7574   0.7574  +0.0000
standard   nl_exact_band25          mmlu_professional_psychology             acc            0.7353   0.7353  +0.0000
standard   nl_exact_band25          mmlu_public_relations                    acc            0.6818   0.6818  +0.0000
standard   nl_exact_band25          mmlu_security_studies                    acc            0.7755   0.7755  +0.0000
standard   nl_exact_band25          mmlu_social_sciences                     acc            0.8021   0.8021  +0.0000
standard   nl_exact_band25          mmlu_sociology                           acc            0.8109   0.8109  +0.0000
standard   nl_exact_band25          mmlu_stem                                acc            0.6505   0.6505  +0.0000
standard   nl_exact_band25          mmlu_us_foreign_policy                   acc            0.8700   0.8700  +0.0000
standard   nl_exact_band25          mmlu_virology                            acc            0.5482   0.5482  +0.0000
standard   nl_exact_band25          mmlu_world_religions                     acc            0.8363   0.8363  +0.0000
standard   nl_exact_band25          piqa                                     acc            0.7894   0.7894  +0.0000
standard   nl_exact_band25          piqa                                     acc_norm       0.8014   0.8014  +0.0000
standard   nl_exact_band25          winogrande                               acc            0.7040   0.7040  +0.0000
multihop   control                  synthrlvl_longbench_2wikimqa_standard    qa_f1_score    0.3892   0.2274  -0.1618
multihop   control                  synthrlvl_longbench_2wikimqa_standard    score          0.3892   0.2274  -0.1618
multihop   control                  synthrlvl_longbench_2wikimqa_tagged      exact_match    0.0400   0.0400  +0.0000
multihop   control                  synthrlvl_longbench_2wikimqa_tagged      qa_f1_score    0.0766   0.0670  -0.0095
multihop   control                  synthrlvl_longbench_2wikimqa_tagged      score          0.0766   0.0670  -0.0095
multihop   control                  synthrlvl_longbench_hotpotqa_standard    qa_f1_score    0.5568   0.3612  -0.1956
multihop   control                  synthrlvl_longbench_hotpotqa_standard    score          0.5568   0.3612  -0.1956
multihop   control                  synthrlvl_longbench_hotpotqa_tagged      exact_match    0.2800   0.0300  -0.2500
multihop   control                  synthrlvl_longbench_hotpotqa_tagged      qa_f1_score    0.3784   0.0517  -0.3268
multihop   control                  synthrlvl_longbench_hotpotqa_tagged      score          0.3784   0.0517  -0.3268
multihop   control                  synthrlvl_longbench_musique_standard     qa_f1_score    0.2989   0.1584  -0.1405
multihop   control                  synthrlvl_longbench_musique_standard     score          0.2989   0.1584  -0.1405
multihop   control                  synthrlvl_longbench_musique_tagged       exact_match    0.1800   0.0300  -0.1500
multihop   control                  synthrlvl_longbench_musique_tagged       qa_f1_score    0.2485   0.0538  -0.1947
multihop   control                  synthrlvl_longbench_musique_tagged       score          0.2485   0.0538  -0.1947
multihop   longdoc                  synthrlvl_longbench_2wikimqa_standard    qa_f1_score    0.3528   0.3408  -0.0120
multihop   longdoc                  synthrlvl_longbench_2wikimqa_standard    score          0.3528   0.3408  -0.0120
multihop   longdoc                  synthrlvl_longbench_2wikimqa_tagged      exact_match    0.0400   0.0050  -0.0350
multihop   longdoc                  synthrlvl_longbench_2wikimqa_tagged      qa_f1_score    0.0782   0.0321  -0.0460
multihop   longdoc                  synthrlvl_longbench_2wikimqa_tagged      score          0.0782   0.0321  -0.0460
multihop   longdoc                  synthrlvl_longbench_hotpotqa_standard    qa_f1_score    0.5762   0.4608  -0.1154
multihop   longdoc                  synthrlvl_longbench_hotpotqa_standard    score          0.5762   0.4608  -0.1154
multihop   longdoc                  synthrlvl_longbench_hotpotqa_tagged      exact_match    0.2600   0.0250  -0.2350
multihop   longdoc                  synthrlvl_longbench_hotpotqa_tagged      qa_f1_score    0.3585   0.0666  -0.2919
multihop   longdoc                  synthrlvl_longbench_hotpotqa_tagged      score          0.3585   0.0666  -0.2919
multihop   longdoc                  synthrlvl_longbench_musique_standard     qa_f1_score    0.3021   0.1949  -0.1072
multihop   longdoc                  synthrlvl_longbench_musique_standard     score          0.3021   0.1949  -0.1072
multihop   longdoc                  synthrlvl_longbench_musique_tagged       exact_match    0.1750   0.0050  -0.1700
multihop   longdoc                  synthrlvl_longbench_musique_tagged       qa_f1_score    0.2317   0.0302  -0.2015
multihop   longdoc                  synthrlvl_longbench_musique_tagged       score          0.2317   0.0302  -0.2015
multihop   logic_band25             synthrlvl_longbench_2wikimqa_standard    qa_f1_score    0.3640   0.2186  -0.1455
multihop   logic_band25             synthrlvl_longbench_2wikimqa_standard    score          0.3640   0.2186  -0.1455
multihop   logic_band25             synthrlvl_longbench_2wikimqa_tagged      exact_match    0.1300   0.0300  -0.1000
multihop   logic_band25             synthrlvl_longbench_2wikimqa_tagged      qa_f1_score    0.1789   0.0499  -0.1290
multihop   logic_band25             synthrlvl_longbench_2wikimqa_tagged      score          0.1789   0.0499  -0.1290
multihop   logic_band25             synthrlvl_longbench_hotpotqa_standard    qa_f1_score    0.5710   0.2883  -0.2827
multihop   logic_band25             synthrlvl_longbench_hotpotqa_standard    score          0.5710   0.2883  -0.2827
multihop   logic_band25             synthrlvl_longbench_hotpotqa_tagged      exact_match    0.3800   0.1200  -0.2600
multihop   logic_band25             synthrlvl_longbench_hotpotqa_tagged      qa_f1_score    0.4736   0.1546  -0.3190
multihop   logic_band25             synthrlvl_longbench_hotpotqa_tagged      score          0.4736   0.1546  -0.3190
multihop   logic_band25             synthrlvl_longbench_musique_standard     qa_f1_score    0.2732   0.0785  -0.1948
multihop   logic_band25             synthrlvl_longbench_musique_standard     score          0.2732   0.0785  -0.1948
multihop   logic_band25             synthrlvl_longbench_musique_tagged       exact_match    0.1400   0.0100  -0.1300
multihop   logic_band25             synthrlvl_longbench_musique_tagged       qa_f1_score    0.1805   0.0342  -0.1464
multihop   logic_band25             synthrlvl_longbench_musique_tagged       score          0.1805   0.0342  -0.1464
multihop   nl_exact_band25          synthrlvl_longbench_2wikimqa_standard    qa_f1_score    0.3821   0.2560  -0.1261
multihop   nl_exact_band25          synthrlvl_longbench_2wikimqa_standard    score          0.3821   0.2560  -0.1261
multihop   nl_exact_band25          synthrlvl_longbench_2wikimqa_tagged      exact_match    0.1550   0.0450  -0.1100
multihop   nl_exact_band25          synthrlvl_longbench_2wikimqa_tagged      qa_f1_score    0.2082   0.1056  -0.1026
multihop   nl_exact_band25          synthrlvl_longbench_2wikimqa_tagged      score          0.2082   0.1056  -0.1026
multihop   nl_exact_band25          synthrlvl_longbench_hotpotqa_standard    qa_f1_score    0.5588   0.3745  -0.1842
multihop   nl_exact_band25          synthrlvl_longbench_hotpotqa_standard    score          0.5588   0.3745  -0.1842
multihop   nl_exact_band25          synthrlvl_longbench_hotpotqa_tagged      exact_match    0.3100   0.1750  -0.1350
multihop   nl_exact_band25          synthrlvl_longbench_hotpotqa_tagged      qa_f1_score    0.3952   0.2283  -0.1668
multihop   nl_exact_band25          synthrlvl_longbench_hotpotqa_tagged      score          0.3952   0.2283  -0.1668
multihop   nl_exact_band25          synthrlvl_longbench_musique_standard     qa_f1_score    0.2719   0.1501  -0.1218
multihop   nl_exact_band25          synthrlvl_longbench_musique_standard     score          0.2719   0.1501  -0.1218
multihop   nl_exact_band25          synthrlvl_longbench_musique_tagged       exact_match    0.1250   0.0300  -0.0950
multihop   nl_exact_band25          synthrlvl_longbench_musique_tagged       qa_f1_score    0.1762   0.0580  -0.1182
multihop   nl_exact_band25          synthrlvl_longbench_musique_tagged       score          0.1762   0.0580  -0.1182

264 cells; mean |diff| 0.0371, max |diff| 0.3268
