band,metric,k,condition,mean,std,count
train_1_5,citation_free_joint_pass,1,train0p0_validity_gated,0.9984375,0.000681077959928238,3
train_1_5,citation_free_joint_pass,1,train0p5_correct_only,0.9983854166666667,0.00063147685692615,3
train_1_5,citation_free_joint_pass,1,train0p5_validity_gated,0.9981770833333333,0.0008884751098556946,3
train_1_5,citation_free_joint_pass,16,train0p0_correct_only,1.0,0.0,3
train_1_5,citation_free_joint_pass,16,train0p0_validity_gated,1.0,0.0,3
train_1_5,citation_free_joint_pass,16,train0p5_correct_only,1.0,0.0,3
train_1_5,citation_free_joint_pass,16,train0p5_validity_gated,1.0,0.0,3
train_1_5,citation_free_joint_pass,64,train0p0_correct_only,1.0,0.0,3
train_1_5,citation_free_joint_pass,64,train0p0_validity_gated,1.0,0.0,3
train_1_5,citation_free_joint_pass,64,train0p5_correct_only,1.0,0.0,3
train_1_5,citation_free_joint_pass,64,train0p5_validity_gated,1.0,0.0,3
train_1_5,citation_free_valid_given_correct,1,train0p0_correct_only,0.9997383953385154,8.985274778233695e-05,3
train_1_5,citation_free_valid_given_correct,1,train0p0_validity_gated,0.9997386419242275,9.071371043461317e-05,3
train_1_5,citation_free_valid_given_correct,1,train0p5_correct_only,0.9997916666666667,0.0003608439182435084,3
train_1_5,citation_free_valid_given_correct,1,train0p5_validity_gated,0.9999479166666667,9.021097956093319e-05,3
train_1_5,citation_free_valid_given_correct,16,train0p0_correct_only,1.0,0.0,3
train_1_5,citation_free_valid_given_correct,16,train0p0_validity_gated,1.0,0.0,3
train_1_5,citation_free_valid_given_correct,16,train0p5_correct_only,1.0,0.0,3
train_1_5,citation_free_valid_given_correct,16,train0p5_validity_gated,1.0,0.0,3
train_1_5,citation_free_valid_given_correct,64,train0p0_correct_only,1.0,0.0,3
train_1_5,citation_free_valid_given_correct,64,train0p0_validity_gated,1.0,0.0,3
train_1_5,citation_free_valid_given_correct,64,train0p5_correct_only,1.0,0.0,3
train_1_5,citation_free_valid_given_correct,64,train0p5_validity_gated,1.0,0.0,3
train_1_5,citation_free_invalid_but_correct,1,train0p0_correct_only,0.00026041666666667404,9.021097956087392e-05,3
train_1_5,citation_free_invalid_but_correct,1,train0p0_validity_gated,0.00026041666666666666,9.02109795608675e-05,3
train_1_5,citation_free_invalid_but_correct,1,train0p5_correct_only,0.0002083333333333363,0.0003608439182435213,3
train_1_5,citation_free_invalid_but_correct,1,train0p5_validity_gated,5.208333333333037e-05,9.02109795608739e-05,3
train_1_5,citation_free_invalid_but_correct,16,train0p0_correct_only,0.0,0.0,3
train_1_5,citation_free_invalid_but_correct,16,train0p0_validity_gated,0.0,0.0,3
train_1_5,citation_free_invalid_but_correct,16,train0p5_correct_only,0.0,0.0,3
train_1_5,citation_free_invalid_but_correct,16,train0p5_validity_gated,0.0,0.0,3
train_1_5,citation_free_invalid_but_correct,64,train0p0_correct_only,0.0,0.0,3
train_1_5,citation_free_invalid_but_correct,64,train0p0_validity_gated,0.0,0.0,3
train_1_5,citation_free_invalid_but_correct,64,train0p5_correct_only,0.0,0.0,3
train_1_5,citation_free_invalid_but_correct,64,train0p5_validity_gated,0.0,0.0,3
ood_6_20,correct_pass,1,train0p0_correct_only,0.46072916666666663,0.05821015640786217,3
ood_6_20,correct_pass,1,train0p0_validity_gated,0.46222222222222226,0.05897977776725289,3
ood_6_20,correct_pass,1,train0p5_correct_only,0.45845486111111117,0.0550610341719591,3
ood_6_20,correct_pass,1,train0p5_validity_gated,0.4634895833333334,0.052769670544170325,3
ood_6_20,correct_pass,16,train0p0_correct_only,0.9307742491205362,0.039244959867375744,3
ood_6_20,correct_pass,16,train0p0_validity_gated,0.9313961083024815,0.04376465674243745,3
ood_6_20,correct_pass,16,train0p5_correct_only,0.9282265240627359,0.040499419812571824,3
ood_6_20,correct_pass,16,train0p5_validity_gated,0.9287265188135025,0.037321146847857214,3
ood_6_20,correct_pass,64,train0p0_correct_only,0.9944444444444445,0.00693888666488704,3
ood_6_20,correct_pass,64,train0p0_validity_gated,0.9866666666666667,0.01333333333333335,3
ood_6_20,correct_pass,64,train0p5_correct_only,0.9899999999999999,0.008819171036881962,3
ood_6_20,correct_pass,64,train0p5_validity_gated,0.9899999999999999,0.00666666666666671,3
ood_6_20,citation_free_valid_pass,1,train0p0_correct_only,0.31390625,0.023414977604415476,3
ood_6_20,citation_free_valid_pass,1,train0p0_validity_gated,0.3143229166666667,0.028086827876668663,3
ood_6_20,citation_free_valid_pass,1,train0p5_correct_only,0.318125,0.022094570156080087,3
ood_6_20,citation_free_valid_pass,1,train0p5_validity_gated,0.32571180555555557,0.0276052148647947,3
ood_6_20,citation_free_valid_pass,16,train0p0_correct_only,0.7368544324635788,0.04785756717186487,3
ood_6_20,citation_free_valid_pass,16,train0p0_validity_gated,0.7372967546162293,0.053683634268304865,3
ood_6_20,citation_free_valid_pass,16,train0p5_correct_only,0.7255277666073633,0.0541663167597844,3
ood_6_20,citation_free_valid_pass,16,train0p5_validity_gated,0.7362920967025612,0.05893959679095,3
ood_6_20,citation_free_valid_pass,64,train0p0_correct_only,0.9288888888888889,0.063098981620003,3
ood_6_20,citation_free_valid_pass,64,train0p0_validity_gated,0.9199999999999999,0.06960204339273698,3
ood_6_20,citation_free_valid_pass,64,train0p5_correct_only,0.91,0.0808977406634107,3
ood_6_20,citation_free_valid_pass,64,train0p5_validity_gated,0.9122222222222223,0.0948292813037861,3
ood_6_20,citation_free_joint_pass,1,train0p0_correct_only,0.2687847222222222,0.0303386348055318,3
ood_6_20,citation_free_joint_pass,1,train0p0_validity_gated,0.26944444444444443,0.032459298320415116,3
ood_6_20,citation_free_joint_pass,1,train0p5_correct_only,0.2740972222222222,0.03165537136362455,3
ood_6_20,citation_free_joint_pass,1,train0p5_validity_gated,0.2818055555555556,0.03481256909112764,3
ood_6_20,citation_free_joint_pass,16,train0p0_correct_only,0.5848985998393639,0.01723185439019356,3
ood_6_20,citation_free_joint_pass,16,train0p0_validity_gated,0.5869001185146571,0.022087635190047052,3
ood_6_20,citation_free_joint_pass,16,train0p5_correct_only,0.5807808568408288,0.023016176771800435,3
ood_6_20,citation_free_joint_pass,16,train0p5_validity_gated,0.59128613063408,0.025798613750521615,3
ood_6_20,citation_free_joint_pass,64,train0p0_correct_only,0.7533333333333333,0.0317979733805649,3
ood_6_20,citation_free_joint_pass,64,train0p0_validity_gated,0.7511111111111112,0.0365655170486762,3
ood_6_20,citation_free_joint_pass,64,train0p5_correct_only,0.741111111111111,0.03564225540521215,3
ood_6_20,citation_free_joint_pass,64,train0p5_validity_gated,0.7633333333333333,0.03382963855030743,3
ood_6_20,citation_free_valid_given_correct,1,train0p0_correct_only,0.380496543158519,0.012531344363005006,3
ood_6_20,citation_free_valid_given_correct,1,train0p0_validity_gated,0.3819667498259352,0.018791555975002747,3
ood_6_20,citation_free_valid_given_correct,1,train0p5_correct_only,0.38869827129554196,0.014735308486929081,3
ood_6_20,citation_free_valid_given_correct,1,train0p5_validity_gated,0.394904985651545,0.01982117381517564,3
ood_6_20,citation_free_valid_given_correct,16,train0p0_correct_only,0.5959879643083504,0.012953287009954734,3
ood_6_20,citation_free_valid_given_correct,16,train0p0_validity_gated,0.5977474157966686,0.017822739234049752,3
ood_6_20,citation_free_valid_given_correct,16,train0p5_correct_only,0.5936111083985066,0.01883016460077029,3
ood_6_20,citation_free_valid_given_correct,16,train0p5_validity_gated,0.6025743559658415,0.02071166054923137,3
ood_6_20,citation_free_valid_given_correct,64,train0p0_correct_only,0.754468524251806,0.03283209843859512,3
ood_6_20,citation_free_valid_given_correct,64,train0p0_validity_gated,0.7540276785478025,0.038972870547508885,3
ood_6_20,citation_free_valid_given_correct,64,train0p5_correct_only,0.7438829644918398,0.03603378033508409,3
ood_6_20,citation_free_valid_given_correct,64,train0p5_validity_gated,0.766816114359974,0.0340826393642944,3
ood_6_20,citation_free_invalid_but_correct,1,train0p0_correct_only,0.19194444444444445,0.03390166272945561,3
ood_6_20,citation_free_invalid_but_correct,1,train0p0_validity_gated,0.1927777777777778,0.03406251327301816,3
ood_6_20,citation_free_invalid_but_correct,1,train0p5_correct_only,0.18435763888888887,0.02791843187308904,3
ood_6_20,citation_free_invalid_but_correct,1,train0p5_validity_gated,0.18168402777777778,0.022560100897124243,3
ood_6_20,citation_free_invalid_but_correct,16,train0p0_correct_only,0.34587564928117237,0.03244364559806097,3
ood_6_20,citation_free_invalid_but_correct,16,train0p0_validity_gated,0.34449598978782453,0.03627838171509043,3
ood_6_20,citation_free_invalid_but_correct,16,train0p5_correct_only,0.3474456672219071,0.03526750769390446,3
ood_6_20,citation_free_invalid_but_correct,16,train0p5_validity_gated,0.33744038817942257,0.03061965385679405,3
ood_6_20,citation_free_invalid_but_correct,64,train0p0_correct_only,0.24111111111111114,0.03716828596372828,3
ood_6_20,citation_free_invalid_but_correct,64,train0p0_validity_gated,0.23555555555555555,0.04717971943458254,3
ood_6_20,citation_free_invalid_but_correct,64,train0p5_correct_only,0.2488888888888889,0.04167777629669122,3
ood_6_20,citation_free_invalid_but_correct,64,train0p5_validity_gated,0.22666666666666666,0.03844187531556929,3
tail_15_20,correct_pass,1,train0p0_correct_only,0.19227430555555555,0.06750449250685629,3
tail_15_20,correct_pass,1,train0p0_validity_gated,0.19552951388888892,0.07192220074796887,3
tail_15_20,correct_pass,1,train0p5_correct_only,0.187109375,0.06202223534238604,3
tail_15_20,correct_pass,1,train0p5_validity_gated,0.18888888888888888,0.05899318903363523,3
tail_15_20,correct_pass,16,train0p0_correct_only,0.8366048378592806,0.09721421981135281,3
tail_15_20,correct_pass,16,train0p0_validity_gated,0.8376060744747079,0.10590778958379356,3
tail_15_20,correct_pass,16,train0p5_correct_only,0.8314072893909034,0.0981693051725188,3
tail_15_20,correct_pass,16,train0p5_validity_gated,0.8300504352237259,0.09355106372392111,3
tail_15_20,correct_pass,64,train0p0_correct_only,0.9861111111111112,0.01734721666221773,3
tail_15_20,correct_pass,64,train0p0_validity_gated,0.9666666666666667,0.03333333333333337,3
tail_15_20,correct_pass,64,train0p5_correct_only,0.9750000000000001,0.022047927592204863,3
tail_15_20,correct_pass,64,train0p5_validity_gated,0.975,0.016666666666666677,3
tail_15_20,citation_free_valid_pass,1,train0p0_correct_only,0.04071180555555556,0.012737365801368444,3
tail_15_20,citation_free_valid_pass,1,train0p0_validity_gated,0.039496527777777776,0.011687119735965784,3
tail_15_20,citation_free_valid_pass,1,train0p5_correct_only,0.03723958333333333,0.012556836928376246,3
tail_15_20,citation_free_valid_pass,1,train0p5_validity_gated,0.03893229166666667,0.014138850410440712,3
tail_15_20,citation_free_valid_pass,16,train0p0_correct_only,0.4390988807839933,0.12623001448776824,3
tail_15_20,citation_free_valid_pass,16,train0p0_validity_gated,0.4296328385971328,0.12814840445343514,3
tail_15_20,citation_free_valid_pass,16,train0p5_correct_only,0.41133942556663466,0.14310567423774248,3
tail_15_20,citation_free_valid_pass,16,train0p5_validity_gated,0.42740584116413055,0.1518686496632325,3
tail_15_20,citation_free_valid_pass,64,train0p0_correct_only,0.8305555555555556,0.15007714065822328,3
tail_15_20,citation_free_valid_pass,64,train0p0_validity_gated,0.8083333333333332,0.167290499165706,3
tail_15_20,citation_free_valid_pass,64,train0p5_correct_only,0.7777777777777778,0.19743728493240953,3
tail_15_20,citation_free_valid_pass,64,train0p5_validity_gated,0.7833333333333332,0.23228933107943908,3
tail_15_20,citation_free_joint_pass,1,train0p0_correct_only,0.012630208333333332,0.0024324924078475796,3
tail_15_20,citation_free_joint_pass,1,train0p0_validity_gated,0.013020833333333334,0.000344498868628203,3
tail_15_20,citation_free_joint_pass,1,train0p5_correct_only,0.012413194444444444,0.0015035163260146511,3
tail_15_20,citation_free_joint_pass,1,train0p5_validity_gated,0.012673611111111113,0.0014283405097139177,3
tail_15_20,citation_free_joint_pass,16,train0p0_correct_only,0.1656916597216009,0.034963907148378444,3
tail_15_20,citation_free_joint_pass,16,train0p0_validity_gated,0.16697726803178845,0.01847283821382779,3
tail_15_20,citation_free_joint_pass,16,train0p5_correct_only,0.16231598485563084,0.034435870622812274,3
tail_15_20,citation_free_joint_pass,16,train0p5_validity_gated,0.16710688739733978,0.026384001859063866,3
tail_15_20,citation_free_joint_pass,64,train0p0_correct_only,0.425,0.08700255424092124,3
tail_15_20,citation_free_joint_pass,64,train0p0_validity_gated,0.4305555555555555,0.07742977702647977,3
tail_15_20,citation_free_joint_pass,64,train0p5_correct_only,0.41944444444444445,0.11557024479285956,3
tail_15_20,citation_free_joint_pass,64,train0p5_validity_gated,0.45555555555555555,0.09292071490932069,3
tail_15_20,citation_free_valid_given_correct,1,train0p0_correct_only,0.06717840180284594,0.04243162635206893,3
tail_15_20,citation_free_valid_given_correct,1,train0p0_validity_gated,0.06809773495216986,0.03243718538132483,3
tail_15_20,citation_free_valid_given_correct,1,train0p5_correct_only,0.07339357680334627,0.04268242040217579,3
tail_15_20,citation_free_valid_given_correct,1,train0p5_validity_gated,0.06743235087317763,0.03459640091102177,3
tail_15_20,citation_free_valid_given_correct,16,train0p0_correct_only,0.18766532835834604,0.0543662139838219,3
tail_15_20,citation_free_valid_given_correct,16,train0p0_validity_gated,0.1889819700424414,0.03463961750259847,3
tail_15_20,citation_free_valid_given_correct,16,train0p5_correct_only,0.188594583320053,0.05485594885243801,3
tail_15_20,citation_free_valid_given_correct,16,train0p5_validity_gated,0.19049890886641696,0.04512674501376374,3
tail_15_20,citation_free_valid_given_correct,64,train0p0_correct_only,0.4278379772961816,0.08966516256530965,3
tail_15_20,citation_free_valid_given_correct,64,train0p0_validity_gated,0.4378469741472837,0.08377963502849597,3
tail_15_20,citation_free_valid_given_correct,64,train0p5_correct_only,0.42637407789626575,0.11834187551046926,3
tail_15_20,citation_free_valid_given_correct,64,train0p5_validity_gated,0.46426250812215725,0.09539872107639695,3
tail_15_20,citation_free_invalid_but_correct,1,train0p0_correct_only,0.17964409722222222,0.06982158064088462,3
tail_15_20,citation_free_invalid_but_correct,1,train0p0_validity_gated,0.18250868055555555,0.071960143246616,3
tail_15_20,citation_free_invalid_but_correct,1,train0p5_correct_only,0.17469618055555555,0.06321803433999731,3
tail_15_20,citation_free_invalid_but_correct,1,train0p5_validity_gated,0.1762152777777778,0.06027792716215327,3
tail_15_20,citation_free_invalid_but_correct,16,train0p0_correct_only,0.6709131781376799,0.13083258767878395,3
tail_15_20,citation_free_invalid_but_correct,16,train0p0_validity_gated,0.6706288064429194,0.12114828138453339,3
tail_15_20,citation_free_invalid_but_correct,16,train0p5_correct_only,0.6690913045352724,0.12887786434211776,3
tail_15_20,citation_free_invalid_but_correct,16,train0p5_validity_gated,0.6629435478263862,0.11840845606554712,3
tail_15_20,citation_free_invalid_but_correct,64,train0p0_correct_only,0.5611111111111111,0.10080692950902248,3
tail_15_20,citation_free_invalid_but_correct,64,train0p0_validity_gated,0.5361111111111111,0.1087598441691772,3
tail_15_20,citation_free_invalid_but_correct,64,train0p5_correct_only,0.5555555555555556,0.13471506281091272,3
tail_15_20,citation_free_invalid_but_correct,64,train0p5_validity_gated,0.5194444444444445,0.1087598441691771,3
