template,train_max,seed,depth,in_train,correct1,correct16,valid16,joint16
logic,15,3408,10,1,0.99609375,1.0,1.0,1.0
logic,15,3408,12,1,1.0,1.0,1.0,1.0
logic,15,3408,15,1,1.0,1.0,1.0,1.0
logic,15,3408,18,0,0.9453125,1.0,1.0,1.0
logic,15,3408,20,0,0.34765625,1.0,1.0,0.90625
logic,15,3408,25,0,0.146484375,0.875,0.875,0.46875
logic,15,3408,30,0,0.123046875,0.8125,0.53125,0.15625
logic,15,3408,35,0,0.111328125,0.78125,0.4375,0.125
logic,15,3408,40,0,0.044921875,0.5,0.15625,0.0
logic,15,3408,45,0,0.041015625,0.46875,0.15625,0.0625
logic,15,3408,50,0,0.068359375,0.59375,0.21875,0.09375
logic,15,3409,1,1,1.0,1.0,1.0,1.0
logic,15,3409,2,1,1.0,1.0,1.0,1.0
logic,15,3409,5,1,1.0,1.0,1.0,1.0
logic,15,3409,10,1,1.0,1.0,1.0,1.0
logic,15,3409,12,1,1.0,1.0,1.0,1.0
logic,15,3409,15,1,1.0,1.0,1.0,1.0
logic,15,3409,18,0,0.46484375,1.0,1.0,1.0
logic,15,3409,20,0,0.248046875,0.90625,0.9375,0.8125
logic,15,3409,25,0,0.158203125,0.9375,0.78125,0.34375
logic,15,3409,30,0,0.115234375,0.71875,0.21875,0.0625
logic,15,3409,35,0,0.107421875,0.71875,0.0625,0.0
logic,15,3409,40,0,0.037109375,0.375,0.21875,0.03125
logic,15,3409,45,0,0.03125,0.34375,0.15625,0.03125
logic,15,3409,50,0,0.04296875,0.40625,0.03125,0.03125
logic,20,3407,1,1,1.0,1.0,1.0,1.0
logic,20,3407,2,1,1.0,1.0,1.0,1.0
logic,20,3407,5,1,1.0,1.0,1.0,1.0
logic,20,3407,10,1,1.0,1.0,1.0,1.0
logic,20,3407,12,1,0.998046875,1.0,1.0,1.0
logic,20,3407,15,1,0.998046875,1.0,1.0,1.0
logic,20,3407,18,1,1.0,1.0,1.0,1.0
logic,20,3407,20,1,1.0,1.0,1.0,1.0
logic,20,3407,25,0,0.798828125,1.0,1.0,1.0
logic,20,3407,30,0,0.33984375,0.875,1.0,0.75
logic,20,3407,35,0,0.2890625,0.90625,0.71875,0.34375
logic,20,3407,40,0,0.234375,0.78125,0.75,0.28125
logic,20,3407,45,0,0.189453125,0.75,0.75,0.1875
logic,20,3407,50,0,0.189453125,0.875,0.5,0.125
logic,20,3408,1,1,1.0,1.0,1.0,1.0
logic,20,3408,2,1,1.0,1.0,1.0,1.0
logic,20,3408,5,1,1.0,1.0,1.0,1.0
logic,20,3408,10,1,1.0,1.0,1.0,1.0
logic,20,3408,12,1,1.0,1.0,1.0,1.0
logic,20,3408,15,1,1.0,1.0,1.0,1.0
logic,20,3408,18,1,1.0,1.0,1.0,1.0
logic,20,3408,20,1,1.0,1.0,1.0,1.0
logic,20,3408,25,0,0.53515625,0.9375,0.96875,0.9375
logic,20,3408,30,0,0.318359375,0.84375,0.84375,0.71875
logic,20,3408,35,0,0.17578125,0.78125,0.90625,0.28125
logic,20,3408,40,0,0.25390625,0.78125,0.9375,0.4375
logic,20,3408,45,0,0.216796875,0.8125,0.90625,0.375
logic,20,3408,50,0,0.32421875,0.875,0.875,0.40625
logic,20,3409,1,1,1.0,1.0,1.0,1.0
logic,20,3409,2,1,1.0,1.0,1.0,1.0
logic,20,3409,5,1,1.0,1.0,1.0,1.0
logic,20,3409,10,1,1.0,1.0,1.0,1.0
logic,20,3409,12,1,0.994140625,1.0,1.0,1.0
logic,20,3409,15,1,1.0,1.0,1.0,1.0
logic,20,3409,18,1,0.99609375,1.0,1.0,1.0
logic,20,3409,20,1,1.0,1.0,1.0,1.0
logic,20,3409,25,0,0.33203125,0.84375,0.96875,0.8125
logic,20,3409,30,0,0.26953125,0.75,0.75,0.34375
logic,20,3409,35,0,0.15625,0.65625,0.75,0.21875
logic,20,3409,40,0,0.130859375,0.8125,0.9375,0.3125
logic,20,3409,45,0,0.19921875,0.84375,0.6875,0.34375
logic,20,3409,50,0,0.1640625,0.8125,0.46875,0.0625
logic,25,3407,1,1,1.0,1.0,1.0,1.0
logic,25,3407,2,1,1.0,1.0,1.0,1.0
logic,25,3407,5,1,1.0,1.0,1.0,1.0
logic,25,3407,10,1,1.0,1.0,1.0,1.0
logic,25,3407,12,1,1.0,1.0,1.0,1.0
logic,25,3407,15,1,1.0,1.0,1.0,1.0
logic,25,3407,18,1,0.998046875,1.0,1.0,1.0
logic,25,3407,20,1,1.0,1.0,1.0,1.0
logic,25,3407,25,1,0.99609375,1.0,1.0,1.0
logic,25,3407,30,0,0.955078125,1.0,1.0,1.0
logic,25,3407,35,0,0.560546875,0.96875,0.96875,0.96875
logic,25,3407,40,0,0.28515625,0.90625,0.75,0.46875
logic,25,3407,45,0,0.19921875,0.90625,0.75,0.34375
logic,25,3407,50,0,0.2421875,0.875,0.84375,0.375
logic,25,3408,1,1,1.0,1.0,1.0,1.0
logic,25,3408,2,1,1.0,1.0,1.0,1.0
logic,25,3408,5,1,1.0,1.0,1.0,1.0
logic,25,3408,10,1,1.0,1.0,1.0,1.0
logic,25,3408,12,1,1.0,1.0,1.0,1.0
logic,25,3408,15,1,1.0,1.0,1.0,1.0
logic,25,3408,18,1,1.0,1.0,1.0,1.0
logic,25,3408,20,1,1.0,1.0,1.0,1.0
logic,25,3408,25,1,1.0,1.0,1.0,1.0
logic,25,3408,30,0,0.982421875,1.0,1.0,1.0
logic,25,3408,35,0,0.90625,1.0,1.0,1.0
logic,25,3408,40,0,0.525390625,0.96875,0.96875,0.90625
logic,25,3408,45,0,0.3203125,0.875,0.90625,0.6875
logic,25,3408,50,0,0.228515625,0.9375,0.9375,0.625
logic,25,3409,1,1,0.9921875,1.0,1.0,1.0
logic,25,3409,2,1,0.998046875,1.0,1.0,1.0
logic,25,3409,5,1,1.0,1.0,1.0,1.0
logic,25,3409,10,1,1.0,1.0,1.0,1.0
logic,25,3409,12,1,1.0,1.0,1.0,1.0
logic,25,3409,15,1,1.0,1.0,1.0,1.0
logic,25,3409,18,1,1.0,1.0,1.0,1.0
logic,25,3409,20,1,1.0,1.0,1.0,1.0
logic,25,3409,25,1,0.994140625,1.0,1.0,1.0
logic,25,3409,30,0,0.962890625,1.0,1.0,1.0
logic,25,3409,35,0,0.697265625,1.0,1.0,0.96875
logic,25,3409,40,0,0.369140625,0.90625,0.8125,0.5625
logic,25,3409,45,0,0.212890625,0.78125,0.875,0.5
logic,25,3409,50,0,0.251953125,0.6875,0.6875,0.25
nl_exact,5,3407,1,1,1.0,1.0,1.0,1.0
nl_exact,5,3407,2,1,1.0,1.0,1.0,1.0
nl_exact,5,3407,5,1,1.0,1.0,1.0,1.0
nl_exact,5,3407,10,0,1.0,1.0,1.0,1.0
nl_exact,5,3407,12,0,0.998046875,1.0,1.0,1.0
nl_exact,5,3407,15,0,0.951171875,0.96875,0.96875,0.96875
nl_exact,5,3407,18,0,0.53515625,0.71875,0.40625,0.40625
nl_exact,5,3407,20,0,0.0,0.0,0.0,0.0
nl_exact,5,3407,25,0,0.03515625,0.0625,0.0,0.0
nl_exact,5,3407,30,0,0.029296875,0.0625,0.0,0.0
nl_exact,5,3407,35,0,0.09375,0.34375,0.0,0.0
nl_exact,5,3407,40,0,0.029296875,0.1875,0.0,0.0
nl_exact,5,3407,45,0,0.0,0.0,0.0,0.0
nl_exact,5,3407,50,0,0.0,0.0,0.0,0.0
nl_exact,5,3408,1,1,1.0,1.0,1.0,1.0
nl_exact,5,3408,2,1,1.0,1.0,1.0,1.0
nl_exact,5,3408,5,1,1.0,1.0,1.0,1.0
nl_exact,5,3408,10,0,1.0,1.0,1.0,1.0
nl_exact,5,3408,12,0,1.0,1.0,1.0,1.0
nl_exact,5,3408,15,0,0.85546875,0.9375,0.9375,0.9375
nl_exact,5,3408,18,0,0.37890625,0.75,0.84375,0.71875
nl_exact,5,3408,20,0,0.123046875,0.1875,0.0,0.0
nl_exact,5,3408,25,0,0.115234375,0.3125,0.0,0.0
nl_exact,5,3408,30,0,0.150390625,0.34375,0.0,0.0
nl_exact,5,3408,35,0,0.1171875,0.5625,0.0,0.0
nl_exact,5,3408,40,0,0.041015625,0.09375,0.0,0.0
nl_exact,5,3408,45,0,0.07421875,0.40625,0.0,0.0
nl_exact,5,3408,50,0,0.119140625,0.375,0.0,0.0
nl_exact,5,3409,1,1,1.0,1.0,1.0,1.0
nl_exact,5,3409,2,1,1.0,1.0,1.0,1.0
nl_exact,5,3409,5,1,1.0,1.0,1.0,1.0
nl_exact,5,3409,10,0,1.0,1.0,1.0,1.0
nl_exact,5,3409,12,0,1.0,1.0,1.0,1.0
nl_exact,5,3409,15,0,0.310546875,0.5,0.46875,0.46875
nl_exact,5,3409,18,0,0.67578125,1.0,1.0,1.0
nl_exact,5,3409,20,0,0.07421875,0.15625,0.0,0.0
nl_exact,5,3409,25,0,0.181640625,0.40625,0.0,0.0
nl_exact,5,3409,30,0,0.12109375,0.375,0.0,0.0
nl_exact,5,3409,35,0,0.2578125,0.53125,0.0,0.0
nl_exact,5,3409,40,0,0.060546875,0.28125,0.0,0.0
nl_exact,5,3409,45,0,0.15234375,0.5,0.0,0.0
nl_exact,5,3409,50,0,0.1796875,0.5,0.0,0.0
nl_exact,10,3407,1,1,1.0,1.0,1.0,1.0
nl_exact,10,3407,2,1,1.0,1.0,1.0,1.0
nl_exact,10,3407,5,1,1.0,1.0,1.0,1.0
nl_exact,10,3407,10,1,1.0,1.0,1.0,1.0
nl_exact,10,3407,12,0,1.0,1.0,1.0,1.0
nl_exact,10,3407,15,0,1.0,1.0,1.0,1.0
nl_exact,10,3407,18,0,0.943359375,1.0,1.0,1.0
nl_exact,10,3407,20,0,0.00390625,0.03125,0.03125,0.03125
nl_exact,10,3407,25,0,0.046875,0.0625,0.0,0.0
nl_exact,10,3407,30,0,0.08984375,0.15625,0.0,0.0
nl_exact,10,3407,35,0,0.078125,0.15625,0.0,0.0
nl_exact,10,3407,40,0,0.015625,0.09375,0.0,0.0
nl_exact,10,3407,45,0,0.07421875,0.21875,0.0,0.0
nl_exact,10,3407,50,0,0.08203125,0.25,0.0,0.0
nl_exact,10,3408,1,1,1.0,1.0,1.0,1.0
nl_exact,10,3408,2,1,1.0,1.0,1.0,1.0
nl_exact,10,3408,5,1,1.0,1.0,1.0,1.0
nl_exact,10,3408,10,1,1.0,1.0,1.0,1.0
nl_exact,10,3408,12,0,1.0,1.0,1.0,1.0
nl_exact,10,3408,15,0,1.0,1.0,1.0,1.0
nl_exact,10,3408,18,0,0.6875,0.96875,0.9375,0.9375
nl_exact,10,3408,20,0,0.00390625,0.0625,0.0,0.0
nl_exact,10,3408,25,0,0.03515625,0.1875,0.0,0.0
nl_exact,10,3408,30,0,0.2421875,0.46875,0.0,0.0
nl_exact,10,3408,35,0,0.1484375,0.5625,0.0,0.0
nl_exact,10,3408,40,0,0.1328125,0.3125,0.0,0.0
nl_exact,10,3408,45,0,0.208984375,0.40625,0.0,0.0
nl_exact,10,3408,50,0,0.09375,0.34375,0.0,0.0
nl_exact,10,3409,1,1,1.0,1.0,1.0,1.0
nl_exact,10,3409,2,1,1.0,1.0,1.0,1.0
nl_exact,10,3409,5,1,1.0,1.0,1.0,1.0
nl_exact,10,3409,10,1,0.98828125,1.0,1.0,1.0
nl_exact,10,3409,12,0,1.0,1.0,1.0,1.0
nl_exact,10,3409,15,0,1.0,1.0,1.0,1.0
nl_exact,10,3409,18,0,0.900390625,1.0,1.0,1.0
nl_exact,10,3409,20,0,0.041015625,0.0625,0.0,0.0
nl_exact,10,3409,25,0,0.056640625,0.15625,0.0,0.0
nl_exact,10,3409,30,0,0.154296875,0.4375,0.0,0.0
nl_exact,10,3409,35,0,0.232421875,0.4375,0.0,0.0
nl_exact,10,3409,40,0,0.001953125,0.03125,0.0,0.0
nl_exact,10,3409,45,0,0.142578125,0.40625,0.0,0.0
nl_exact,10,3409,50,0,0.21484375,0.65625,0.0,0.0
nl_exact,15,3407,1,1,1.0,1.0,1.0,1.0
nl_exact,15,3407,2,1,1.0,1.0,1.0,1.0
nl_exact,15,3407,5,1,1.0,1.0,1.0,1.0
nl_exact,15,3407,10,1,1.0,1.0,1.0,1.0
nl_exact,15,3407,12,1,1.0,1.0,1.0,1.0
nl_exact,15,3407,15,1,1.0,1.0,1.0,1.0
nl_exact,15,3407,18,0,0.98828125,1.0,1.0,1.0
nl_exact,15,3407,20,0,0.076171875,0.1875,0.28125,0.1875
nl_exact,15,3407,25,0,0.11328125,0.25,0.0625,0.0625
nl_exact,15,3407,30,0,0.189453125,0.34375,0.0,0.0
nl_exact,15,3407,35,0,0.150390625,0.3125,0.0,0.0
nl_exact,15,3407,40,0,0.087890625,0.34375,0.0,0.0
nl_exact,15,3407,45,0,0.08984375,0.25,0.0,0.0
nl_exact,15,3407,50,0,0.1171875,0.34375,0.0,0.0
nl_exact,15,3408,1,1,1.0,1.0,1.0,1.0
nl_exact,15,3408,2,1,1.0,1.0,1.0,1.0
nl_exact,15,3408,5,1,1.0,1.0,1.0,1.0
nl_exact,15,3408,10,1,1.0,1.0,1.0,1.0
nl_exact,15,3408,12,1,1.0,1.0,1.0,1.0
nl_exact,15,3408,15,1,1.0,1.0,1.0,1.0
nl_exact,15,3408,18,0,0.970703125,1.0,1.0,1.0
nl_exact,15,3408,20,0,0.001953125,0.03125,0.0,0.0
nl_exact,15,3408,25,0,0.044921875,0.15625,0.03125,0.03125
nl_exact,15,3408,30,0,0.19140625,0.34375,0.0,0.0
nl_exact,15,3408,35,0,0.107421875,0.40625,0.0,0.0
nl_exact,15,3408,40,0,0.005859375,0.0625,0.0,0.0
nl_exact,15,3408,45,0,0.111328125,0.28125,0.0,0.0
nl_exact,15,3408,50,0,0.12890625,0.375,0.0,0.0
nl_exact,15,3409,1,1,1.0,1.0,1.0,1.0
nl_exact,15,3409,2,1,1.0,1.0,1.0,1.0
nl_exact,15,3409,5,1,1.0,1.0,1.0,1.0
nl_exact,15,3409,10,1,1.0,1.0,1.0,1.0
nl_exact,15,3409,12,1,1.0,1.0,1.0,1.0
nl_exact,15,3409,15,1,1.0,1.0,1.0,1.0
nl_exact,15,3409,18,0,0.8984375,0.96875,0.96875,0.96875
nl_exact,15,3409,20,0,0.0,0.0,0.0,0.0
nl_exact,15,3409,25,0,0.021484375,0.0625,0.0,0.0
nl_exact,15,3409,30,0,0.056640625,0.09375,0.03125,0.03125
nl_exact,15,3409,35,0,0.09375,0.25,0.0,0.0
nl_exact,15,3409,40,0,0.044921875,0.21875,0.0,0.0
nl_exact,15,3409,45,0,0.080078125,0.375,0.0,0.0
nl_exact,15,3409,50,0,0.00390625,0.0625,0.0,0.0
nl_exact,20,3407,1,1,1.0,1.0,1.0,1.0
nl_exact,20,3407,2,1,1.0,1.0,1.0,1.0
nl_exact,20,3407,5,1,1.0,1.0,1.0,1.0
nl_exact,20,3407,10,1,1.0,1.0,1.0,1.0
nl_exact,20,3407,12,1,1.0,1.0,1.0,1.0
nl_exact,20,3407,15,1,1.0,1.0,1.0,1.0
nl_exact,20,3407,18,1,1.0,1.0,1.0,1.0
nl_exact,20,3407,20,1,1.0,1.0,1.0,1.0
nl_exact,20,3407,25,0,0.24609375,0.46875,0.4375,0.4375
nl_exact,20,3407,30,0,0.357421875,0.625,0.3125,0.3125
nl_exact,20,3407,35,0,0.17578125,0.40625,0.0,0.0
nl_exact,20,3407,40,0,0.1875,0.4375,0.0,0.0
nl_exact,20,3407,45,0,0.25,0.59375,0.03125,0.03125
nl_exact,20,3407,50,0,0.037109375,0.1875,0.0,0.0
nl_exact,20,3408,1,1,1.0,1.0,1.0,1.0
nl_exact,20,3408,2,1,1.0,1.0,1.0,1.0
nl_exact,20,3408,5,1,1.0,1.0,1.0,1.0
nl_exact,20,3408,10,1,1.0,1.0,1.0,1.0
nl_exact,20,3408,12,1,1.0,1.0,1.0,1.0
nl_exact,20,3408,15,1,1.0,1.0,1.0,1.0
nl_exact,20,3408,18,1,1.0,1.0,1.0,1.0
nl_exact,20,3408,20,1,1.0,1.0,1.0,1.0
nl_exact,20,3408,25,0,0.384765625,0.71875,0.6875,0.6875
nl_exact,20,3408,30,0,0.2265625,0.40625,0.28125,0.28125
nl_exact,20,3408,35,0,0.130859375,0.375,0.0,0.0
nl_exact,20,3408,40,0,0.205078125,0.6875,0.0,0.0
nl_exact,20,3408,45,0,0.111328125,0.25,0.0,0.0
nl_exact,20,3408,50,0,0.111328125,0.5625,0.0,0.0
nl_exact,20,3409,1,1,1.0,1.0,1.0,1.0
nl_exact,20,3409,2,1,1.0,1.0,1.0,1.0
nl_exact,20,3409,5,1,1.0,1.0,1.0,1.0
nl_exact,20,3409,10,1,1.0,1.0,1.0,1.0
nl_exact,20,3409,12,1,1.0,1.0,1.0,1.0
nl_exact,20,3409,15,1,1.0,1.0,1.0,1.0
nl_exact,20,3409,18,1,1.0,1.0,1.0,1.0
nl_exact,20,3409,20,1,1.0,1.0,1.0,1.0
nl_exact,20,3409,25,0,0.912109375,1.0,1.0,1.0
nl_exact,20,3409,30,0,0.140625,0.25,0.21875,0.21875
nl_exact,20,3409,35,0,0.115234375,0.28125,0.25,0.25
nl_exact,20,3409,40,0,0.08984375,0.34375,0.0625,0.0625
nl_exact,20,3409,45,0,0.1328125,0.46875,0.3125,0.3125
nl_exact,20,3409,50,0,0.150390625,0.46875,0.34375,0.34375
nl_exact,25,3407,1,1,1.0,1.0,1.0,1.0
nl_exact,25,3407,2,1,1.0,1.0,1.0,1.0
nl_exact,25,3407,5,1,1.0,1.0,1.0,1.0
nl_exact,25,3407,10,1,1.0,1.0,1.0,1.0
nl_exact,25,3407,12,1,1.0,1.0,1.0,1.0
nl_exact,25,3407,15,1,1.0,1.0,1.0,1.0
nl_exact,25,3407,18,1,1.0,1.0,1.0,1.0
nl_exact,25,3407,20,1,1.0,1.0,1.0,1.0
nl_exact,25,3407,25,1,1.0,1.0,1.0,1.0
nl_exact,25,3407,30,0,0.96484375,1.0,1.0,1.0
nl_exact,25,3407,35,0,0.744140625,0.90625,0.90625,0.90625
nl_exact,25,3407,40,0,0.49609375,0.65625,0.65625,0.65625
nl_exact,25,3407,45,0,0.28515625,0.75,0.75,0.75
nl_exact,25,3407,50,0,0.138671875,0.5,0.4375,0.40625
nl_exact,25,3408,1,1,1.0,1.0,1.0,1.0
nl_exact,25,3408,2,1,1.0,1.0,1.0,1.0
nl_exact,25,3408,5,1,1.0,1.0,1.0,1.0
nl_exact,25,3408,10,1,1.0,1.0,1.0,1.0
nl_exact,25,3408,12,1,1.0,1.0,1.0,1.0
nl_exact,25,3408,15,1,1.0,1.0,1.0,1.0
nl_exact,25,3408,18,1,1.0,1.0,1.0,1.0
nl_exact,25,3408,20,1,1.0,1.0,1.0,1.0
nl_exact,25,3408,25,1,1.0,1.0,1.0,1.0
nl_exact,25,3408,30,0,0.978515625,1.0,1.0,1.0
nl_exact,25,3408,35,0,0.943359375,0.96875,0.96875,0.96875
nl_exact,25,3408,40,0,0.8828125,0.96875,0.96875,0.96875
nl_exact,25,3408,45,0,0.365234375,0.96875,0.6875,0.65625
nl_exact,25,3408,50,0,0.142578125,0.59375,0.53125,0.5
nl_exact,25,3409,1,1,1.0,1.0,1.0,1.0
nl_exact,25,3409,2,1,1.0,1.0,1.0,1.0
nl_exact,25,3409,5,1,1.0,1.0,1.0,1.0
nl_exact,25,3409,10,1,1.0,1.0,1.0,1.0
nl_exact,25,3409,12,1,1.0,1.0,1.0,1.0
nl_exact,25,3409,15,1,1.0,1.0,1.0,1.0
nl_exact,25,3409,18,1,1.0,1.0,1.0,1.0
nl_exact,25,3409,20,1,1.0,1.0,1.0,1.0
nl_exact,25,3409,25,1,1.0,1.0,1.0,1.0
nl_exact,25,3409,30,0,0.9921875,1.0,1.0,1.0
nl_exact,25,3409,35,0,0.8203125,0.875,0.875,0.875
nl_exact,25,3409,40,0,0.412109375,0.75,0.75,0.6875
nl_exact,25,3409,45,0,0.2890625,0.53125,0.46875,0.46875
nl_exact,25,3409,50,0,0.16015625,0.4375,0.375,0.375
